Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
29,SIA/TR/MIN/430319/2023,,M/s SUNNY BRICKS INDUSTRIES,BRICK EARTH MINE OF M/S SUNNY BRICKS INDUSTRIES,Under examination of SEIAA,EC,
30,SIA/TR/MIN/429224/2023,,"M/s Rajlaxmi Bricks Industry, Block ID: UMT/ST/BR-029",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Under examination of SEIAA,EC,
34,SIA/TR/MIN/287746/2022,,"M/s Riaz Uddin Sand Block, Block ID: UMT/UN-003",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
57,SIA/TR/MIN/279378/2022,F.8(25)/SEIAA/2022/SM-06,PINTU DEY SAND MINING,PINTU DEY,EC Granted,EC,
58,SIA/TR/MIS/186502/2020,No.F.8(25)/TSPCB/SEIAA/2019/Tripureswari Developer,"Residential-Cum-Commercial Building Located At Assam-Agartala Road, Opp. Sherowali Cold Storage, Kashipur, Agartala, District Tripura (West), Tripura By M/s Tripureswari Developers",M/S TRIPURESWARI DEVELOPERS,EC Granted - Processed offline,EC,
59,SIA/TR/MIN/422752/2023,,"M/s Mahamaya Bricks Industries, Block ID: UMT/WT/BR-26",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Under examination of SEIAA,EC,
60,SIA/TR/MIN/403820/2022,F.8(25)/TSPCB/SEIAA/2022/SM-341,paritosh das sand,PARITOSH DAS,EC Granted,EC,
88,SIA/TR/MIN/251302/2022,,Sand Mine of M/S SURAJIT DATTA SAND,M/S SURAJIT DATTA SAND,Delisted,EC,
89,SIA/TR/MIN/434432/2023,,M/S Surajit Sand,SURAJIT BARUA,Under examination of SEIAA,EC,
94,SIA/TR/MIN/269869/2022,,Supriya Gope,SUPRIYA GOPE,Request for withdraw,EC,
95,SIA/TR/MIN/409799/2022,F.8(25)/TSPCB/SEIAA/2022/BF-292,Brick Earth Mining of M/S Bholanath Bricks Industries,ARJUN MANDAL,Site Visit by SEAC(Pending),EC,
96,SIA/TR/MIN/434405/2023,,Sand mining of M/S BISWAJIT SAND,BISWAJIT DEBNATH,Under examination of SEIAA,EC,
63,SIA/TR/MIN/401111/2022,No. F.8(25)/TSPCB/SEIAA/2022/SM-331,"M/s Sajal Das Sand Block, Block ID: UMT/NT/001",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,EC Granted,EC,
64,SIA/TR/MIN/423206/2023,,"M/s Babul Debnath Sand, Block ID: UMT/ST-001",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
77,SIA/TR/MIN/231742/2021,,BRICK EARTH MINE OF M/S BHOLA NATH BRICKS INDUSTRIES,M/S. BHOLA NATH BRICKS INDUSTRIES,Request for withdraw,EC,
164,SIA/TR/MIN/262361/2022,,Sand Mine of MAA KALI SAND,SHIBU DAS,Delisted,EC,
166,SIA/TR/MIN/286992/2022,,MATA BRICKS INDUSTRIES,DILIP SAHA,Request for withdraw,EC,
