,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link
984,SIA/CG/MIN/42396/2019,OL/EC/MIN/RAJNANDGAON/1083C,Shiva Minerals,Chhattisgarh,Rajnandgaon,Dongargaon,Date of Submission for EC: 18 Jan 2020 ,Date of Ec Granted : 23 May 2020,Non-Coal Mining,SHIVA  MINERALS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42396/2019&pid=63253
985,SIA/CG/MIN/86980/2018,OL/EC/SANDMINE/RAIPUR/754A,Baronda Sandmine,Chhattisgarh,Gariaband,Rajim,Date of Submission for TOR: ,Date of Submission for EC: 29 Nov 2018 ,Non-Coal Mining,GRAM PANCHAYAT BARONDA SAND,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/86980/2018&pid=48865
986,SIA/CG/MIN/32609/2019,OL/EC/MIN/KANKER/782,Bhilai Sand Mine Distt Kanker,Chhattisgarh,Kanker,Charama,Date of Submission for EC: 25 Nov 2019 ,Date of Ec Granted : 15 Jan 2020,Non-Coal Mining,BHILAI SAND MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/32609/2019&pid=53725
987,SIA/CG/MIN/32651/2019,,JHARRIPARA SOAP STONE,Chhattisgarh,Kanker,Bhanupratappur,Date of Submission for TOR: ,Date of Submission for EC: 07 Nov 2019 ,Non-Coal Mining,MANOJ KUMAR PRASAD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/32651/2019&pid=53746
988,SIA/CG/MIN/425021/2023,OL/EC/MIN/JASHPUR/2373,M/s. Dilip Buildcon Limited -Turuama Ordinary Stone Temporary Permit Quarry (1)																		,Chhattisgarh,,,Date of Submission for EC: 06 Apr 2023 ,Date of Ec Granted : 28 Jul 2023,Non-Coal Mining, DILIP BUILDCON LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/425021/2023&pid=218455
989,SIA/CG/MIN/446983/2023,OL/EC/MIN/JANJGIR_CHAMPA/1854,Rajesh Kumar Singhaniya ,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 05 Oct 2023 ,Non-Coal Mining,RAJESH SINGHANIYA,Awaiting EC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/446983/2023&pid=226356
990,SIA/CG/NCP/61492/2017,OL/EC/CONSTRUCTION_PROJECT/RAIPUR/545,Life Spaces,Chhattisgarh,Raipur,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 03 Jan 2017 ,INFRA-1,GT HOMES,Rejected - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/NCP/61492/2017&pid=33463
991,SIA/CG/MIN/41754/2019,OL/EC/MIN/RAJNANDGAON/945,Anil Parakh,Chhattisgarh,Rajnandgaon,Dongargaon,Date of Submission for EC: 15 Aug 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,ANIL PARAKH,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/41754/2019&pid=62833
992,SIA/CG/MIN/63874/2017,OL/EC/SAND_MINE/DHAMTARI/577,bharari sand mine,Chhattisgarh,Dhamtari,Dhamtari,Date of Submission for EC: 28 Apr 2017 ,Date of Ec Granted : 28 Jul 2017,Non-Coal Mining,BHAWARMARA SAND MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/63874/2017&pid=34904
993,SIA/CG/IND/63939/2017,OL/EC/INDUSTRY/RAIPUR/579,Hanukripa Ispat Private Limited,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 12 Apr 2017 ,Date of Ec Granted : 26 Oct 2017,Industrial Projects - 1,HANU KRIPA ISPAT PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/IND/63939/2017&pid=34941
