Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
3731,SIA/AP/MIN/240478/2021,AP SKLM MIN 11 2021 3631,Parlam 4 Sand Reach,MS. JAI PRAKASH POWER VENTURES LIMITED,EC Granted,EC,
3732,SIA/AP/MIN/244072/2021,AP NLR   MIN 12  2021 3738,Mudhivatrhi-III Sand Reach,M/S  JAI PRAKASH POWER  VENTURES LIMITED,EC Granted,EC,
3733,SIA/AP/MIN/274958/2022,AP MIN VSP 05 2022 4328,M/s. Golden Aggregates & Sand (P) Ltd,GOLDEN AGGREGATES & SAND PRIVATE LIMITED,EC Granted,EC,
3736,SIA/AP/MIN/68409/2017,AP VSP MIN 09 2017 446,Sri Ch. Kondapa Naidu,M/S. CH. KONDAPA  NAIDU,EC Granted,EC,
3737,SIA/AP/MIN/20722/2015,AP ANT MIN 01 2018 479,Sri G. Vijaya Krishna,SRI G VIJAYA KRISHNA,EC Granted,EC,
3738,SIA/AP/MIN/62573/2017,AP NLR MIN 02 2017 288,M/s. Naseeb Mining Company,NASEEB MINING COMPANY,Rejected - Processed offline,EC,
3739,SIA/AP/MIN/73849/2018,AP VZM MIN 05 2018 569,M/s. Sri Lakshmi Narasimha Chiranjeevi Minerals-6.44ha,SRI LAKSHMI NARASIMHA CHIRANJEEVI MINERALS,EC Granted,EC,
3740,SIA/AP/MIS/30402/2015,GNT 150 CON 08 2015,NRI Academy Of Sciences(NRI Medical College & General Hospital),NRI ACADEMY OF SCIENCES,EC Granted,EC,
3746,SIA/AP/MIN/127653/2019,AP GNT MIN  11 2019 1477,Sri B.Chandra Sekhar - 0.502 Ha of Lime Stone Quarry,SRI B CHANDRA SEKHAR,EC Granted - Processed offline,EC,
3750,SIA/AP/MIN/73382/2018,AP KNL MIN 03 2018 539,M/s Dhanunjaya Enterprises,DHANUNJAYA ENTERPRISES,EC Granted,EC,
3756,SIA/AP/MIN/421053/2023,AP/VSP /MIN/11/2018/736,Sri B M J Appa Rao,MODI JAGGA APPARAO BUDHA,EC Granted,EC,
3757,SIA/AP/MIN/31806/2015,AP SKM 266 MIN 10 2015,,M/S. SUNDARA DURGA GRANITES,EC Granted,EC,
3758,SIA/AP/MIN/45627/2019,AP KNL MIN 10 2019 1374,Sri S. Konda Reddy,SRI S. KONDA REDDY,EC Granted - Processed offline,EC,
3759,SIA/AP/MIN/45697/2019,AP ANT MIN 10 2019 1379,Sri. T. Srinivasulu,SRI T SRINIVASULU,EC Granted - Processed offline,EC,
3760,SIA/AP/MIN/41132/2019,AP KDP MIN 08 2019 1127,illuru Sand Reach Project (Govt),"ADMG, YERRAGUNTLA",EC Granted - Processed offline,EC,
3767,SIA/AP/MIN/259976/2022,AP MIN  ANT 03 2022  4017,"Sri Y.Hanumantha Reddy (3.975 Hectares of Road Metal, Building Stone, M.Sand & Gravel Mine)",YALAPALA REDDY,EC Granted,EC,
3769,SIA/AP/MIN/401253/2022,AP  MIN  VZM 9 2022 4620,M/s. K.P.N. Power Projects Pvt. Ltd.,APPALANAIDU KONDAPALLI,EC Granted,EC,
3770,SIA/AP/MIN/139637/2020,AP SKLM MIN  01 2020 1669,Sri L. Srinivas,SRI L. SRINIVAS,EC Granted - Processed offline,EC,
3771,SIA/AP/MIN/427282/2023,AP MIN  SKLM 4 2023 5047,"M/s. Mavric & Company,",MAVRIC & COMPANY,For further consideration(SEIAA),EC,
3772,SIA/AP/MIN/401566/2022,AP  MIN  VZM  9 2022 4623,"M/s Vijaya Stone Crusher, Prop: Sri Karanam Vykunta Rao","M/S. VIJAYA STONE CRUSHER, PROP. SRI KARANAM VYKUNTA RAO,",EC Granted,EC,
3774,SIA/AP/MIN/434466/2023,AP/VSP/VIO/MIN/2/2023/4929,"M/s 3Lok Infrastructure Private Limited, Mg.Dir: Sri S.Trilok (21.692 Ha)",3LOK INFRASTRUCTURES PRIVATE LIMITED,Agenda Uploaded by SEAC,EC,
3775,SIA/AP/MIN/434852/2023,,MINING OF ROAD METAL & BUILDING STONE of SRI M. SANKARA RAO,SANKARA RAO MEDISETTI,Under examination of SEIAA,EC,
3776,SIA/AP/MIN/56956/2016,,Smt. K. Satyavathi,K SATYAVATHI,TransferToDEIAA,EC,
3778,SIA/AP/MIN/166301/2020,AP MIN  NLR 08 2020 2036,Nagarajathopu-II Sand Reach,NAGARAJUHOPU SAND REACH,EC Granted - Processed offline,EC,
3781,SIA/AP/MIN/259440/2022,AP MIN KDP 03 2022  4005,Karimunnisa Begum 2.860 Ha,KARIMUNISA SYED,EC Granted,EC,
3782,SIA/AP/MIN/260137/2022,AP MIN  KDP 03 2022  4022,Narayananellore Sand Reach II,"JAIPRAKASH POWER VENTURES LIMITED, KADAPA",EC Granted,EC,
3783,SIA/AP/MIN/404150/2022,AP/MIN/CTR/02/2022/3968,Sri Durga Anish Pothina mining  of Quartz,DURGA POTHINA,EC Granted,EC,
3784,SIA/AP/MIN/405069/2022,AP CTR MIN 6 2021 3273,B Praveen Kumar Reddy,B PRAVEEN KUMAR REDDY,EC Granted,EC,
3785,SIA/AP/MIN/424727/2023,AP MIN NTR 4 2023 5021,Chodavaram - 4 Sand Reach,JAIPRAKASHPOWERVENTURESLIMITED,ADS by SEAC,EC,
3786,SIA/AP/MIN/424728/2023,AP MIN NTR 4 2023 5026,Chodavaram - 6 Sand Reach,JAIPRAKASHPOWERVENTURESLIMITED,ADS by SEAC,EC,
3787,SIA/AP/MIN/425631/2023,AP MIN KDP 4 2023 5035,"Sri A.Srimannarayana Reddy Mining of Road Metal, Building Stone and Gravel (4.80 Hectares)",SRIMANNARAYANA ANNAPUREDDY,For further consideration(SEIAA),EC,
3791,SIA/AP/MIN/182203/2020,AP  KNL MIN 11 2020 2385,M.  Kiran Kumar Reddy,M.KIRAQN KUMAR REDDY,EC Granted,EC,
3793,SIA/AP/MIN/259278/2022,AP MIN WG 03 2022 3999,"Ordinary Earth, Building Stone & Road Metal Quarry of  M/s Bekem Infra Projects Pvt. Ltd",BEKEM INFRA PROJECTS PRIVATE LIMITED,EC Granted,EC,
3794,SIA/AP/MIN/279879/2022,AP  MIN  KDP 6  2022 4412,JYOTHI RIVER SAND REACH III,"JAIPRAKASH POWER VENTURES LIMITED, KADAPA",EC Granted,EC,
3795,SIA/AP/MIN/400410/2022,AP  MIN CTR 9 2022 4603,Sri T. Ravichandran Mining of Colour Granite,THANGARAJ RAVICHANDRAN,EC Granted,EC,
3796,SIA/AP/MIN/400831/2022,AP MIN KDP 01 2022  3930,M/s. Mukunda Mines & Minerals - 7.202 Ha,MUKUNDA MINES & MINERALS,EC Granted,EC,
3798,SIA/AP/MIN/49741/2017,AP VZN MIN VIO 10 2018 704,Sai Baba-1 Manganese Mine of M/s. S.K. Sarawagi & Co. Pvt. Ltd.,MS S K SARAWAGI CO PVT LTD,EC Granted - Processed offline,EC,
3801,SIA/AP/MIN/190304/2020,AP CTR  MIN 12  2020 2732,Black Granite quarry over an extent of 2.0 Ha.,SRI Y.MAHADEVA REDDY,EC Granted - Processed offline,EC,
3802,SIA/AP/MIN/183715/2020,AP VSP MIN 11 2020 2434,Smt R.S.Anuradha,SMT R.S. ANURADHA,Delisted,EC,
3803,SIA/AP/MIN/189828/2020,AP VZM  MIN 12  2020 2725,Poornapadu Sand Reach 4.95 Ha.,VIZIANAGARAM SAND REACHES,EC Granted,EC,
3804,SIA/AP/MIN/190001/2020,AP CTR  MIN 12  2020 2726,K.BhaskaraNaidu,SRI K.BHASKAR NAIDU,EC Granted,EC,
3807,SIA/AP/IND2/206561/2021,AP NLR  MIN  9 2021 3502,M/s. Krebs Bio-Chemicals & Industries Limited,M/S. KREBS BIO-CHEMICALS  & INDUSTRIES LTD.,EC Granted,EC,
3808,SIA/AP/MIS/207122/2021,AP   GNT IND  3 2021 3075,M/s. Lalitha PVS Institute of Medical Sciences Private Limited,M/S. LALITHA PVS INSTITUTE OF MEDICAL SCIENCES (P) LTD,EC Granted,EC,
3809,SIA/AP/IND2/207115/2021,AP   GNT  IND  3 2021 3082,Proposed API’s Manufacturing Facility at Guntur District,M/S GVP LIFE SCIENCES PVT LTD,Delisted,EC,
3810,SIA/AP/IND2/207185/2021,AP   WG  IND  3 2021 3083,Proposed Bulk Drug Intermediates Manufacturing Unit,M/S VAPM LABS PVT. LIMITED,Delisted,EC,
3811,SIA/AP/MIN/30927/2015,AP PKM 311 MIN 09 2015,M/s. Sai Granites,OTHER,Delisted,EC,
3812,SIA/AP/MIN/412793/2023,AP NTR  MIN 1 2023 4832,Chevitikallu - 1 Sand Reach,JAIPRAKASHPOWERVENTURESLIMITED,EC Granted,EC,
3813,SIA/AP/MIN/416900/2023,AP NLR MIN 03 2019 865,M/s. Sri Ramanjaneya Minerals,M/S. SRI RAMANJANEYA MINERALS,Deferred by SEAC,EC,
3816,SIA/AP/MIN/420194/2023,,PADAMATI KAMBHAMPADU II SAND REACH,JAIPRAKASHPOWERVENTURESLIMITED,Request for withdraw,EC,
3819,SIA/AP/MIN/58659/2016,AP PKM MIN 08 2016 196,Sri. Syed Masthan Basha,SYED MASTAN BASHA,EC Granted,EC,
3820,SIA/AP/MIN/34194/2015,AP ANT 212 MIN 12 2015,M/s. Sree Tirupathi Balaji Minerals - 4.0Ha,SREE TIRUPATHI BALAJI MINERALS,Delisted,EC,
3821,SIA/AP/MIN/36994/2015,AP PKM 322 MIN 12 2015,"M/s. SMRS GRANITES (Existing - 3.642 Ha) - Sy.No: 100/5 (P) & 100/6,
Budawada Village, 
Chimakurthy Mandal, 
Prakasam District, 
Andhra Pradesh",SMRS GRANITES,TransferToDEIAA,EC,
3822,SIA/AP/MIN/37008/2015,AP VSP MIN 01 2016 3,"Smt. M. Madhu Priya - 1.052 Ha Granite Mine, Survey No: 255, & 27/7, Butchammapeta & Gurandarapalem Villages, Rolu Gunta & Narsipatnam Mandals, Visakhapatnam District, Andhra Pradesh",M MADHU PRIYA,EC Granted,EC,
3823,SIA/AP/MIN/37039/2015,AP PKM 149 MIN 08 2013,M/s. Maram Venka Reddy Granties,MARAM VENKA REDDY GRANITES,TransferToDEIAA,EC,
3836,SIA/AP/MIN/173706/2020,AP  WG MIN 09 2020 2138,M/s Sree Maheswari Filling & Transport - Gravel,M/S SREE MAHESWARI FILLING & TRANSPORT,EC Granted - Processed offline,EC,
3837,SIA/AP/MIS/99657/2019,AP GNT CON 06 2016 116-1,"Construction of Proposed Residential Cum Commercial Building & Multiplex “Sudeshna Alpine Heights” M/s. Sahiti Infratec Ventures India Pvt. Ltd.,",M/S. SAHITI INFRATEC VENTURES INDIA PVT. LTD.,EC Granted,EC,
3838,SIA/AP/MIN/179455/2020,,M/S Y.VENKATA SURESH KUMAR,Y.VENKATASURESH KUMAR,WithdrawEC,EC,
3843,SIA/AP/MIN/75936/2018,AP NLR MIN 07 2018 659,"6.173 Ha. of  Quartz & Feldspar   Mine of  M/s A ONE MINERALS,Sy. No. 482 
Chakalakonda Village, 
Vinjamoor  Mandal, 
S.P.S.R Nellore District.
Andhra Pradesh.",MS A ONE MINERALS,Delisted,EC,
3844,SIA/AP/IND2/151794/2020,AP VZM IND  05 2020  1786,"Expansion of Bulk Drugs and Intermediates Manufacturing Unit and Inclusion of Captive power plant of 2 x 2 MW by M/s. SMS Pharmaceuticals Limited, Unit VII",SMS PHARMACEUTICALS LIMITED,EC Granted - Processed offline,EC,
3845,SIA/AP/MIN/54163/2016,AP NLR MIN 04 2016 79,Smt.P.Devasena Silica Sand Mine,DEVASENA P,EC Granted,EC,
3847,SIA/AP/MIN/140319/2020,AP EG MIN 02 2020 1683,Vemagiri Sand Reach,MS CHAIRMAN DLSC,EC Granted - Processed offline,EC,
3848,SIA/AP/MIN/90155/2018,AP VZN MIN  02 2019 834,Sri A.Narasimha Rao,SRI. A. NARASIMHA RAO,EC Granted,EC,
3849,SIA/AP/MIN/37158/2017,,M/s. Modern Minerals,MINERALS MODERN,WithdrawEC,EC,
3850,SIA/AP/MIN/35293/2015,AP NLR 252 MIN 12 2015,Viruvuru Sand Reach,VIRUVURU SAND REACH,EC Granted,EC,
3852,SIA/AP/MIN/277455/2022,AP  MIN SKLM 06   2022 4365,Ms. Shanmukha Granites,RAMESH YEDDU,EC Granted,EC,
3855,SIA/AP/MIN/415949/2023,AP CTR MIN   1 2023 4891,MUKKARAVANIPALLI SAND REACH,JAIPRAKASHPOWERVENTURESLIMITED,EC Granted,EC,
3862,SIA/AP/MIN/424333/2023,AP MIN EG  4 2023 5012,"M/s Cherukuri Veerraju & Co., Mg.P: Sri Cherukuri Venkata Krishnaji,",CH VEERRAJU & CO,For further consideration(SEIAA),EC,
3865,SIA/AP/MIN/135007/2020,AP CTR MIN  01 2020 1587,Smt. M. Gowri - 4.966 ha - Road Metal and Building Stone,SMT. M. GOWRI,EC Granted - Processed offline,EC,
3866,SIA/AP/IND2/69824/2021,AP IND EG  04 2022 4221,Exploratory/Development Drilling in KG Offshore PML Block KG/OSDSF/GSKW/2018,OIL INDIA LIMITED,EC Granted,EC,
3868,SIA/AP/MIN/280599/2022,AP  MIN  CTR 6  2022 4430,"Road Metal, Building Stone & Gravel by Sri Girish Reddy Talamanchi",GIRISH THALAMANCHI,EC Granted,EC,
3871,SIA/AP/MIN/58728/2016,AP ANT MIN 08 2016 198,G Rama Mohan Rao,G RAMA MOHAN RAO,Delisted,EC,
3872,SIA/AP/MIN/58888/2016,,M/s. Parvathavardhini Granites,PARVATHAVARDHINI GRANITES,TransferToDEIAA,EC,
3873,SIA/AP/MIN/418507/2023,AP/VSP/MIN/12/2020/2701,"M/s Rockline Mining Products Pvt Ltd, Prop: Sri P. Krishna Kumar",KRISHNA PAVULURI,EC Granted,EC,
3874,SIA/AP/MIN/34917/2015,AP ANT 213 MIN 12 2015,"Y.Rmachandra Reddy,2.853 Hect. (Existing) Dolomite & Lime Stone Mine,Sy No:249/2 & 6 of Nagarur Village,Yadiki Mandal,Anantapur District,Ap.",Y RAMACHANDRA REDDY,TransferToDEIAA,EC,
3875,SIA/AP/NCP/65041/2017,AP VSP CON 05 2017 328,"UNITED TELECOMS LIMITED
(RESIDENTIAL COMPLEX)",UNITED TELECOMS LIMITED,EC Granted,EC,
3880,SIA/AP/MIN/33613/2015,,M/s. God Gift Granites & Minerals,GOD GIFT GRANITES AND MINERALS,TransferToDEIAA,EC,
3881,SIA/AP/MIN/32985/2015,AP PKM 320 MIN 11 2015,Sri N. Anjaneyulu -2.023Ha,SRI N ANJANEYULU,EC Granted,EC,
3882,SIA/AP/MIN/38045/2016,,M/s P.Narasimha Reddy,P NARASIMHA REDDY,Delisted,EC,
3884,SIA/AP/MIN/41178/2019,AP ANT MIN 08 2019 1092,Proposed Ordinary Sand Mine in Chennampalli Sand Reach - III,ADMG ANANTAPUR,EC Granted - Processed offline,EC,
3885,SIA/AP/MIN/56449/2016,AP ANT MIN 06 2016 130,Black Granite Quarry lease of M/s J.R.Enterprises,J R ENTERPRISES,EC Granted,EC,
3886,SIA/AP/MIN/139658/2020,AP CTR MIN  01 2020 1671,Sri M. yella Reddy,M YELLA REDDY,Rejected - Processed offline,EC,
3887,SIA/AP/MIS/195130/2021,AP KRI CON  1  2021 2824,M/s. MBMR Infra.,M/S. MBMR INFRA.,EC Granted,EC,
3889,SIA/AP/MIN/65627/2017,AP PKM MIN 07 2017 355,M/s. Talluri Malyadri,TALLURI MALYADRI,EC Granted,EC,
3890,SIA/AP/MIN/238714/2021,AP KDP MIN 11 2021 3585,V Kiran Kumar GPA holder to VV Rangaiah Chetty,VV RANGAIAH CHETTY,EC Granted,EC,
3893,SIA/AP/MIN/417927/2023,AP  CTR  VIO MIN 02 2022 3960,Sri P. Rajasekhar,RAJASEKHAR PALAMANGALAM,ADS by SEAC,EC,
3895,SIA/AP/MIN/405172/2022,AP WG MIN 8 2021 3403,"M/s Sri Mallikharjuna Minerals, Mg.P: Sri. U. V. P. Krishna Rao",VENKATA PHANI VUPPULURI,WithdrawEC,EC,
3896,SIA/AP/MIN/402049/2022,AP PKM MIN 11 2022 4685,M/s Applie Granites Limited,APPLE GRANITES LIMITED,Deferred by SEAC,EC,
3899,SIA/AP/MIN/424790/2023,/AP/WG/MIN/03/2022/4052,"M/s Jai Granites, Prop: Smt Bomma Usha Talupulamma Thalli",USHA BOMMA,ADS by SEAC,EC,
3900,SIA/AP/MIN/424825/2023,AP MIN VZM 4 2023 5016,Thumukapalli Sand Reach,GOPALA RAO REDDI,ADS by SEAC,EC,
3907,SIA/AP/MIN/218615/2021,AP  VSP  MIN    7 2021 3319,Sri Sanivada Satya Rao,SRI SANIVADA SATYA RAO,EC Granted,EC,
3908,SIA/AP/MIN/63690/2019,SEIAA/AP/KDP/MIN/03/2019/852,8.00 Ha. of Quartzite and Silica Sand Mine of Sri P.Venkata Siva Reddy,SRI P. VENKATA SIVA REDDY,EC Granted,EC,
3911,SIA/AP/MIN/73769/2018,AP CTR MIN 05 2018 610,M/s. Madhu Granites 5.180 Ha,MADHUGRANITES,EC Granted,EC,
3912,SIA/AP/MIN/33108/2019,AP PKM MIN 03 2019 884,B Vengal Rao Guptha,SRI B VENGALA RAO GUPTA,EC Granted,EC,
3913,SIA/AP/MIN/240132/2021,AP VZM MIN 11 2021 3613,"Sri N. Pedda Veeraiah, 1.0Ha, Sy. No: 394",SRI N. PEDDA VEERAIAH,Delisted,EC,
