Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
80,SIA/HR/NCP/93965/2019,"SEIAA/HR/19/33

Hard copy to be submitted","Proposed Construction of Godowns/ Warehouse for other than Agriculture Produce/Non-Agro at Plot No. P12, Street No.1, Sector 3, Model Economic Township in Tehsil Badli, District Jhajjar, State of Haryana",BATI NORTH INDIA PVT LTD,EC Granted,EC,
81,SIA/HR/MIS/137579/2020,SEIAA/HR/2020/251,"Proposed Revision & Expansion of Affordable Group Housing Project Located At  Village Mujeri,  Sector 70 Faridabad, Haryana",AGRASAIN SPACES LLP.,EC Granted,EC,
82,SIA/HR/MIS/52095/2019,SEIAA/HR/19/140 hard copy to be submitted,upgradation of existing CETP from 5 MLD to 10 MLD,HSIIDC,EC Granted,EC,
83,SIA/HR/NCP/68164/2017,,Affordable Residential Plotted Colony under Deen Dayal Awas Yojana-2016 measuring 13.40625 acres,MG HOUSING PVT. LTD.,Delisted,EC,
84,SIA/HR/NCP/73508/2018,SEIAA/HR/18/396 dated 15.03.2018. Please submit th,Affordable Group Housing Colony at Village Badshahpur Sector 68 District Gurugram Haryana,SAI AAINA FARMS PVT LTD,EC Granted - Processed offline,EC,
85,SIA/HR/MIS/219795/2021,File No. SEIAA/HR/2021/436 has been assigned.,"Proposed Affordable Group Housing Colony village- Badha & Sikanderpur Badha, Sector-85, Gurugram, Haryana by M/s Conmin Projects India Pvt. Ltd.",CONMIN PROJECTS INDIA PRIVATE LIMITED,Rejection Letter Granted,EC,
86,SIA/HR/MIS/129639/2019,SEIAA/HR/19/232,"Commercial Building on 9.14375 acres in Sector 74A, Gurugram",AMERICAN EXPRESS (INDIA) PRIVATE LIMITED,EC Granted - Processed offline,EC,
87,SIA/HR/NCP/58236/2016,SEIAA/HR/16/283,"Group Housing Project located at Village Riwaspur anf Bhupani , Sector- 89, faridabad",FIDATO BUILDCON PVT LTD,EC Granted,EC,
88,SIA/HR/NCP/16963/2015,"SEIAA/HR/15/241
Dated 19.11.2015",SIA/HR/NCP/4355/2015,ST PATRICKS REALTY PRIVATE LIMITED,EC Granted,EC,
89,SIA/HR/MIN/18821/2016,SEIAA/HR/MIN/16/155 dated 11.05.2016.,Stone Mining at Pichopa Kalan 2 Stone Mine Block,PIONEER PARTNERS,EC Granted,EC,
90,SIA/HR/MIN/19291/2015,SEIAA/HR/MIN/15/130 dated 27.11.2015,"Boulder, Gravel and Sand minor mineral “Narainpur Block/PKL B 19”",M/S PINJORE ROYALTY COMPANY,Delisted,EC,
91,SIA/HR/NCP/28187/2017,SEIAA/HR/VIO/18/26 dated 18.07.2018,Spaze Boulevard II,SPAZE TOWERS PVT LTD,Delisted,EC,
92,SIA/HR/NCP/71539/2017,SEIAA/HR/17/374 dated 19.12.2017,Commercial Colony at village Dhankot Sector 102 Gurugram Haryana by Aristocrat Home Developers Pvt Ltd,ARISTOCRAT HOME DEVELOPERS PRIVATE LIMITED,EC Granted,EC,
93,SIA/HR/MIS/31250/2008,,"Expansion of Group Housing Project at Sector 87, Faridabad, Haryana",MS SHIV SAI INFRASTRUCTURE PVT LTD,Delisted,EC,
94,SIA/HR/MIS/95970/2019,,"IT Park Project at Sector-48, Village Tikri, Gurugram, HR by M/s Titan infracon LLP",TITAN INFRACON LLP,Delisted,EC,
95,SIA/HR/MIS/98050/2019,SEIAA/HR/19/179,"Affordable Group Housing Project at Village Khera & Bhatauli, Sector 20, Yamunanagar- Jagadhri, District Yamunanagar, Haryana by M/s Pandit  Land & Infrastructure Pvt. Ltd.",M/S PANDIT  LAND & INFRASTRUCTURE PVT. LTD.,For further consideration(SEIAA),EC,
96,SIA/HR/MIS/174884/2020,SEIAA/HR/2020/325 hard copy to be submitted,"Affordable Plotted Colony under Deen Dayal Jan Awas Yojna Scheme-2016 of 13.65625 Acres in the revenue estate of village Shimla Maulana, Sector-40, Panipat, Haryana by M/s Herman Properties Pvt. Ltd.",M/S HERMAN PROPERTIES PVT. LTD.,EC Granted,EC,
97,SIA/HR/MIS/135131/2020,SEIAA/HR/19/246,"Affordable Residential Plotted Colony Project (15 Acres) under DDJAY-2016 located at Revenue Estate of Village-Hariyahara, Sector-36, Tehsil-Sohna, District-Gurugram, Haryana by M/s Signatureglobal Ho",SIGNATUREGLOBAL HOMES PRIVATE LIMITED,EC Granted,EC,
98,SIA/HR/MIS/161107/2020,,Group Housing Complex Project,AGARWAL DEVELOPERS PVT LTD,Delisted,EC,
99,SIA/HR/MIS/68360/2015,SEIAA/HR/2022/200,Expansion of Group Housing Colony,SWETA ESTATES PVT LTD,Agenda Uploaded by SEAC,EC,
100,SIA/HR/MIS/123774/2019,SEIAA/HR/VIO/19/22 hard copy to be submitted,"EC FOR EXPANSION OF RESIDENTIAL PROJECT “LAVANYA APARTMENT” LOCATED AT SECTOR-81, VILLAGE NAWADA FATEHPUR, GURGAON",GRAPHIC RESEARCH CONSULTANTS (INDIA) PRIVATE LIMITED,EC Granted,EC,
101,SIA/HR/MIS/130462/2019,SEIAA/HR/19/233,"Warehouse/Industrial Storage/Logistics Park Project on a land measuring 83,162.899 m2 (20.55 Acres) at Revenue Estate of Village-Luhari, Tehsil & District-Jhajjar, Haryana. by LI Industrial Parks Priv",LI INDUSTRIAL PARKS PRIVATE LTD,EC Granted,EC,
102,SIA/HR/MIS/278736/2022,SEIAA/HR/2022/212,"Proposed Expansion of  Commercial Complex Project on land area measuring 4.843 Acres at Sector - 66, Gurugram, Haryana",GENTLE REALTORS PVT LTD,EC Granted,EC,
103,SIA/HR/NCP/64558/2017,SEIAA/HR/17/330 dated 09.05.2017.,"Affordable Group Housing Colony ""Global Hill View""",V K MOTORS PVT LIMITED,EC Granted,EC,
104,SIA/HR/MIN/64869/2017,,"Boulder, Gravel & Sand (Minor Mineral) Mining Project for River Dangri in” Manak Tabra
Block/PKL B 20” (675390 TPA), ML Area 15.28 ha, near Village: Manak Tabra, District-
Panchkula (Haryana)",MS GHAGGAR ROYALTY COMPANY,Delisted,EC,
105,SIA/HR/MIS/106798/2019,SEIAA/HR/19/157 hard copy to be submitted,"Expansion cum Modification of Commercial Colony At Village-Hayatpur, Sector-95A, District Gurgaon, Haryana by Sh. Mahender Kumar Gupta",SH MAHENDER KUMAR GUPTA,EC Granted - Processed offline,EC,
106,SIA/HR/MIS/212585/2021,SEIAA/HR/2021/418 hard copy to be submitted,"Modification of Commercial Complex “Summit Plaza” (Retail, Cinema & Office) at Sector-54, DLF-5, Gurugram, Haryana by M/s DLF Limited  & Others",M/S DLF LIMITED  & OTHERS,EC Granted,EC,
107,SIA/HR/MIS/217576/2021,File No. SEIAA/HR/2021/437 generated. Earlier EC g,"Revision & Expansion of Affordable Group Housing at Village-Dhorka, Sec-95, Gurugram Haryana",M/S SA PROPCON PVT. LTD. IN COLLABORATION WITH M/S SIGNATURE INFRABUILD PVT. LTD.,EC Granted,EC,
108,SIA/HR/NCP/58816/2016,Similar file has already been accepted wide File N,Affordable Plotted colony Project under Deen Dayal Awas Yojna Mewat Nuh Haryana,RAHEJA DEVELOPERS LTD.,EC Granted - Processed offline,EC,
109,SIA/HR/IND2/201146/2021,SEIAA/HR/2021/378 hard copy to be submitted,M/s. Shree Murlidhar Industries,SHREE MURLIDHAR INDUSTRIES,EC Granted,EC,
110,SIA/HR/MIS/186557/2020,SIA/HR/MIS/186557/2020 hard copy to be submitted,"Proposed Affordable Group Housing Colony at Village-Palra, Sector- 70, Gurugram, Haryana by M/s Pyramid Dream Homes LLP.",M/S PYRAMID DREAM HOMES LLP,EC Granted,EC,
111,SIA/HR/MIS/120664/2019,SEIAA/HR/19/219 hard copy to be submitted,"Renewal and Expansion of Environmental Clearance for “Office , Commercial and Hotel building project at village pawala khusrupur, Sector 109,Gurugram,  Haryana",SHRIMAYA BUILDCON PVT. LTD.,EC Granted,EC,
112,SIA/HR/NCP/18465/2016,SEIAA/HR/16/290 dated 14.09.2016,Revision and Expansion Of Group Housing Colony,RAHEJA DEVELOPERS LTD.,EC Granted,EC,
113,SIA/HR/NCP/75298/2018,SEIAA/HR/18/ 422 dated 05.06.2018.,"Group Housing Project located at Village Ullavas, Sector 61, Gurgaon, Haryana",PURI CONSTRUCTION PVT. LTD.,EC Granted - Processed offline,EC,
114,SIA/HR/NCP/27948/2018,SEIAA/HR/18/ 411 dated 23.04.2018.,"Environment Clearance for Proposed Group Housing Colony on Plot area measuring 17.9 Acres in Sector-102, Gurugram Manesar Urban Complex, Gurgaon, Haryana",EVENTUAL BUILDERS PRIVATE LIMITED,Under examination of SEIAA - Processed offline,EC,
115,SIA/HR/MIS/135818/2020,SEIAA/HR/19/248 hard copy has to be submitted,EXPANSION OF COMMERCIAL PROJECT,PEBBLE DOWNTOWN INDIA PRIVATE LIMITED,EC Granted,EC,
116,SIA/HR/NCP/74973/2018,,"Environmental Clearance for
Group Housing Colony “Amaara Residences” measuring
3.75 Acres in Sector-12A, Gurugram, Haryana",STANFORD DEVELOPERS AND LNFRASTRUCTURES,Delisted,EC,
117,SIA/HR/MIS/149371/2020,SEIAA/HR/VIO/19/10 hard copy to be submitted. TOR,Warehouse Project,INDIA LAND AND SPACE LOGISTICS PVT. LTD.,EC Granted,EC,
118,SIA/HR/MIS/222209/2021,file No. SEIAA/HR/2021/444 has been assigned. Hard,"Proposed Warehouse Building (for Non Agro Produce) in the revenue estate at village Daboda, tehsil- Farrukhnagar, District-Gurugram, Haryana by M/s Honest Warehousing Pvt. Ltd. & Others",M/S HONEST WAREHOUSING PVT LTD & OTHERS,EC Granted,EC,
119,SIA/HR/MIS/279337/2022,SEIAA/HR/2022/213,Affordable Residential Plotted Colony Project under DDJAY by Global Horizon Holdings Private Limited,GLOBALHORIZON HOLDINGS PRIVATE LIMITED,For further consideration(SEIAA),EC,
120,SIA/HR/INFRA2/401222/2022,,Non Agro Warehouse Project,PARMOD KUMAR,Pending at PP due to eds,EC,
121,SIA/HR/MIS/210791/2021,,"Proposed 341 Bedded Government Hospital, Bhiwani, Haryana","DIRECTORATE OF MEDICAL EDUCATION & RESEARCH, HARYANA",Delisted,EC,
122,SIA/HR/INFRA2/420712/2023,SEIAA/HR/2023/297,"Proposed Expansion cum revision of Mixed Land Use Colony Under Tod Policy On Land Measuring 16.113 Acres in the Revenue Estate of Village Chauma, Sector-113, Gurgaon Manesar Urban Complex, Gurugram, Haryana",M/S STARCITY REALTECH PVT. LTD,Referred Back to SEAC(A),EC,
123,SIA/HR/NCP/38051/2016,File no. SEIAA/HR/16/274 Dated 27.04.2016,Commercial complex by M/s Khanna Developers pvt. ltd.,KHANNA DEVELOPERS PVT LTD,EC Granted,EC,
125,SIA/HR/MIS/31305/2019,,,BATI NORTH INDIA PVT LTD,Delisted,EC,
126,SIA/HR/MIS/3834/2014,,"Construction Of Group Housing Project (17.806 Acres) At Sector-4, Village Khaika, Tehsil- Sohna, Distt- Gurgaon, Haryana",FAITH BUILDTECH PVT LTD,Pending at PP due to eds,EC,
127,SIA/HR/MIS/62375/2017,SEIAA/HR/17/318 dated 16.02.2017,"Group Housing ""Lavanya Apartments"" at Village Nawada Fatehpur, Sector 81, Gurgaon, Haryana",GRAPHIC RESEARCH CONSULTANTS (INDIA) PRIVATE LIMITED,Under examination of SEIAA - Processed offline,EC,
128,SIA/HR/MIS/164744/2020,SEIAA/HR/2020/295,"Revision & Expansion of Affordable Group Housing project at Village Billah, Sec-14, Panchkula Ext-II, Panchkula, Haryana",GREEN SPACE INFRAHEIGHTS PVT LTD,EC Granted,EC,
129,SIA/HR/MIN/28495/2017,SEIAA/HR/MIN/18/173 dated 08.01.2018,"STONE ALONG WITH ASSOCIATED MINOR MINERAL MINE, PRODUCTION CAPACITY 75,00,000 MTPA, AT PLOT NO. 3, NEAR VILLAGE: BAKHRIJA, TEHSIL: NARNAUL, DISTRICT: MAHENDERGARH, HARYANA",MS NIMAWAT GRANITE PVT LTD,EC Granted,EC,
130,SIA/HR/MIS/56399/2019,SEIAA/HR/19/18 hard copy to be submitted,"Affordable Group Housing Colony located at Village- Badshahpur, Sector- 68, District- Gurugram, Haryana by M/s Sai Aaina Farms Pvt. Ltd.",M/S SAI AAINA FARMS PVT. LTD.,Rejection Letter Granted,EC,
131,SIA/HR/MIN/52068/2016,File no. SEIAA/HR/MIN/16/143 dated 30.03.2016.,"Extraction of Dolomite and Beryte, along with associated minor mineral (Road Metal & Masonry)",XANDY MINES AND MINERALS,EC Granted,EC,
132,SIA/HR/NCP/30612/2015,,"Affordable Group Housing Colony by M/s B M Gupta Developers Pvt. Ltd. at Village- Dhamlaka, Sector- 26 & 27, District- Rewari, Haryana",BM GUPTA DEVELOPERS PVT LTD,Delisted,EC,
133,SIA/HR/NCP/30614/2015,SEIAA/HR/15/245 dated 26.11.2015 in the name of M/,,PURSARTH APPARELS PRIVATE LIMITED,EC Granted,EC,
134,SIA/HR/IND2/39831/2018,SEIAA/HR/19/184 hard copy to be submitted,"Establishment of proposed 100 KLPD Molasses based Distillery along with Co gen Power – 5.63 MW, village/town: Yamunanagar, Tehsil: Jagadhri,  District: Yamunanagar, Haryana of M/s Saraswati Sugar Mill",SARASWATI SUGAR MILLS LTD,EC Granted - Processed offline,EC,
135,SIA/HR/MIS/201941/2021,SEIAA/HR/2021/383 hard copy to be submitted,Revision and Expansion of Affordable Group Housing Project at Village Dhorka Sector 95 Gurugram Haryana,M/S SA PROPCON PVT. LTD. IN COLLABORATION WITH M/S SIGNATURE INFRABUILD PVT. LTD.,EC Granted,EC,
136,SIA/HR/MIS/201978/2021,SEIAA/HR/2021/382 hard copy to be submitted,"Affordable Residential Plotted Colony Project under Deen Dayal Jan Awas Yojna at Sector 35, Karnal, Haryana",M/S KIND BUILDING SOLUTIONS PVT LTD IN COLLABORATION WITH SANTUR SPACE PVT LTD,EC Granted,EC,
137,SIA/HR/MIN/16125/2015,SEIAA/HR/MIN/16/161 dated 24.06.2016. You are advi,"Mining of Boulder, Gravel & Sand (Minor Mineral) from mines/queries of""Yamunanagar-Bailgarh North Block-1"" with production capacity of 2.14Million TPA (ROM) in lease area of 44 ha by M/s Calleis Realtech PrivateLimited, located at Bailgarh Village, C",M/S CALLEIS REALTECH PRIVATE LIMITED,EC Granted,EC,
138,SIA/HR/MIS/72457/2022,,Expansion of Warehouse for Non Agro Produce (Logistics),ABHINAV SHARMA & AKSHAYSHARMA,Request for withdraw,EC,
139,SIA/HR/MIS/72458/2022,SEIAA/HR/2022/142,Affordable Plotted Colony under Deen Dayal Jan Awas Yojna by M/s MRG Estates LLP,MRG ESTATES LLP,EC Granted,EC,
140,SIA/HR/INFRA2/401329/2022,SEIAA/HR/2022/252,"The Project Proposed “Affordable Plotted Colony” (Under DDJAY-2016) in the Sector-76, Gurugram, Haryana being Developed by M/s Whiteland Corporation Private Ltd.",WHITELAND CORPORATION PRIVATE LIMITED,EC Granted,EC,
141,SIA/HR/MIS/100427/2019,SEIAA/HR/19/160 hard copy to be submitted,Group Housing Project,STANDARD BRANDS LIMITED,EC Granted - Processed offline,EC,
142,SIA/HR/MIS/61825/2017,SEIAA/HR/17/326 dated 27.04.2017,Expansion and Modernization of IT Park,LARSEN AND TOUBRO LIMITED,EC Granted,EC,
143,SIA/HR/MIN/77692/2021,SEIAA/HR/2022/204,"Mining of sand minor mineral from the riverbed of Yamuna River with 36,00,000 TPA production capacity over an area of 94.09 Hectare located at Village- Dadsiya, Tehsil& District- Faridabad, State- Haryana by M/s Dev & Div Solutions Pvt. Ltd.",M/S DEV & DIV SOLUTIONS PVT. LTD.,EC Granted,EC,
