,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
5397,SIA/TN/MIN/427881/2023,"S.Anandhan Rough Stone and Gravel Quarry Project Extent of of 3.55.5Ha S.F.Nos. 162/2, 162/3, 162/4, 162/5, 162/6 (P), 162/7A, 162/7B, 162/8 (P) & 162/9 (P) of Rakkathanpatti Village, Kulathur Taluk, Pudukottai District, Tamil Nadu State",Non-Coal Mining,06 Jul 2023,03/05/2023,,,04/07/2023,04/07/2023,06/07/2023,21/07/2023,,10/10/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/427881/2023&type=EC&ID=219244
5398,SIA/TN/MIN/400863/2022,"Thiru. E. Marimuthu Rough Stone and Gravel Quarry over an Extent of 1.03.5 ha of Patta land in S.F.No. 211/1A of Velampalayam Village, Palladam Taluk, Tiruppur District, Tamil Nadu State",Non-Coal Mining,25 Nov 2022,06/10/2022,,18/11/2022,15/11/2022,15/11/2022,25/11/2022,12/12/2022,,20/01/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/400863/2022&type=EC&ID=211217
5399,SIA/TN/MIN/148231/2020,"M. Abubackar Sithik, New Vadagarai Bit-I Earth quarry project for over an Extent of 1.93.5Ha in S.F.Nos. 1042/4, 1043/1, 1080/3 and 1081 at Vadagarai Bit-I Village, Periyakulam Taluk, Theni District, ",Non-Coal Mining,10 Mar 2020,10/03/2020,,,15/12/2020,,,07/01/2021,21/01/2021,01/01/1900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/148231/2020&type=EC&ID=96431
5400,SIA/TN/MIN/39677/2016,"D.Thangaraj,(President), Rough stone
quarry from over an Extent of 2.28.0Ha in S.F.No. 23/3 at Ozhalakoil Village of Gobi Taluk,
Erode District. ",Non-Coal Mining,11 Jan 2016,11/01/2016,,,04/02/2017,,,04/02/2017,16/02/2017,02/03/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/39677/2016&type=EC&ID=8626
5401,SIA/TN/MIN/67784/2017,M/s Tamilnadu Cements Corporation Limited - Pandapuli-Thenmalai Limestone Mines,Non-Coal Mining,30 Aug 2017,30/08/2017,,,13/11/2017,,,07/05/2019,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/67784/2017&type=EC&ID=37308
5402,SIA/TN/MIN/61015/2016,"M.Selvakumar,For Removal of Red Soil,for over an Extent of 1.62.5Ha in Kuthakottai Village,
Keelakarai Taluk,
Ramanthapuram District.",Non-Coal Mining,10 Dec 2016,10/12/2016,,,13/03/2017,,,13/03/2017,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/61015/2016&type=EC&ID=33093
5403,SIA/TN/MIS/104350/2019,Proposed Construction of Residential Development,INFRA-2,03 May 2019,03/05/2019,,,09/07/2019,,,09/07/2019,10/12/2020,01/01/1900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIS/104350/2019&type=EC&ID=55377
5404,SIA/TN/MIN/182739/2020,Rasingapuram Earth Quarry over an extent of 3.595Ha,Non-Coal Mining,16 Oct 2021,10/11/2020,27/11/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/182739/2020&type=EC&ID=142713
5405,SIA/TN/MIN/270435/2022,The Executive Engineer Kiliyanur sand quarry,Non-Coal Mining,04 May 2022,04/05/2022,,,01/07/2022,,,29/07/2022,,27/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/270435/2022&type=EC&ID=202745
5406,SIA/TN/MIN/194645/2021,"V.Muthuramalingam, New Savudu Earth Quarry Project over an Extent of 2.40.5Ha in S.F.Nos. 177/13, 177/14,179/2 & 179/3A, Pudukudi Village, Kodavasal Taluk, Thiruvarur District, Tamil Nadu.",Non-Coal Mining,23 Jan 2021,23/01/2021,,,23/06/2021,,,11/05/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TN/MIN/194645/2021&type=EC&ID=160441
