,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
30,SIA/RJ/MIN/54732/2016,"BLOCK NO 107
BOUNDARY NAYANAGAR-C
TEHSIL BIJOLIYA 
DISTT BHILWARA 
AREA 0.3715
MINERAL SAND STONE ",Non-Coal Mining,30 May 2016,30/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54732/2016&type=EC&ID=21015
31,SIA/RJ/MIN/38459/2016,Gadiyanada Sand Stone Mine (Q.L. No. 18) Cluster 10,Non-Coal Mining,06 Jan 2016,06/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/38459/2016&type=EC&ID=7550
32,SIA/RJ/MIN/38498/2016,Masonry Stone Mining Project (M.L.No.286/05),Non-Coal Mining,07 Jan 2016,07/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/38498/2016&type=EC&ID=7584
33,SIA/RJ/MIN/54453/2016,"Proposed Sand Stone Quarry Mine QL No. 773 pabumagra Teh. Bhopalgarh
Distt. Jodhpur
",Non-Coal Mining,28 May 2016,28/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54453/2016&type=EC&ID=20737
34,SIA/RJ/MIN/54462/2016,"SANDSTONE MINING PROJECT (Q.L. No. 277)
BHOMIYA JI KA THAN Q.L. BOUNDARY",Non-Coal Mining,28 May 2016,28/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54462/2016&type=EC&ID=20745
35,SIA/RJ/MIN/50950/2016,Bhakliya Quartz & Feldspar & Mica Mining Project (M.L. No. 05/91) Area 4.8250 Hect.,Non-Coal Mining,03 Mar 2016,03/03/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/50950/2016&type=EC&ID=14723
36,SIA/RJ/MIN/38818/2016,"Sindru Masonry Stone Mnes
(ML No.-118/2004)",Non-Coal Mining,08 Jan 2016,08/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/38818/2016&type=EC&ID=7859
37,SIA/RJ/MIN/38836/2016,"Masonary Stone Mining Project, (M.L. No- 25/2001), Area 1.00 Ha., located n/v - Bajyawas, Tehsil - Dataramgarh, District - Sikar (Raj.) of Shri Bhanwar Lal Jat.",Non-Coal Mining,08 Jan 2016,08/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/38836/2016&type=EC&ID=7878
38,SIA/RJ/MIN/38866/2016,MANPURA OLD LIMESTONE KHANDA FARSI (PLOT NO.-681),Non-Coal Mining,08 Jan 2016,08/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/38866/2016&type=EC&ID=7909
39,SIA/RJ/MIN/34114/2015,Masonry Stone Mininig Project,Non-Coal Mining,09 Dec 2015,09/12/2015,,,12/04/2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/34114/2015&type=EC&ID=3564
40,SIA/RJ/MIN/34116/2015,Masonry Stone Mining Project,Non-Coal Mining,09 Dec 2015,09/12/2015,,,12/04/2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/34116/2015&type=EC&ID=3565
41,SIA/RJ/MIN/35034/2015,Shri Munish Kumar,Non-Coal Mining,18 Dec 2015,18/12/2015,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/35034/2015&type=EC&ID=4307
42,SIA/RJ/MIS/109071/2019,“Urban Square” Commercial Project_Expansion,INFRA-2,02 Aug 2019,02/08/2019,03/07/2019,02/08/2019,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIS/109071/2019&type=EC&ID=56943
43,SIA/RJ/MIN/51163/2016,SALARMALA Q.L. AREA PLOT NO.-D-13,Non-Coal Mining,05 Mar 2016,05/03/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/51163/2016&type=EC&ID=14928
44,SIA/RJ/MIN/17224/2015,Limestone Mine,Non-Coal Mining,12 Sep 2016,12/09/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/17224/2015&type=EC&ID=27555
45,SIA/RJ/NCP/58966/2016,"Mahavir residency a group housing project at Falna , Rajasthan",INFRA-1,13 Sep 2016,13/09/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/NCP/58966/2016&type=EC&ID=27565
46,SIA/RJ/MIN/17244/2015,M/s Gajanand Mines & mINERALS,Non-Coal Mining,14 Sep 2016,14/09/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/17244/2015&type=EC&ID=27587
47,SIA/RJ/MIN/48620/2016,QL NO. 528 FIDUSAR SANDSTONE,Non-Coal Mining,09 Feb 2016,09/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48620/2016&type=EC&ID=12446
48,SIA/RJ/MIN/55229/2016,QL 420 BHOMIYA JI KA THAN SANDSTONE MINING PROJECT,Non-Coal Mining,02 Jun 2016,02/06/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/55229/2016&type=EC&ID=21465
49,SIA/RJ/MIN/55277/2016,"QUARTZ & FELDSPAR MINING PROJECT, M.L. NO. - 21/2001, AREA- 4.4852, N/V- BIHARIPURA, THESIL - NEEM KA THANA, DISTRICT - SIKAR, RAJASTHAN",Non-Coal Mining,02 Jun 2016,02/06/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/55277/2016&type=EC&ID=21503
50,SIA/RJ/MIN/49026/2016,MANPURA LIMESTONE KHANDA FASRI Q.L. AREA PLOT NO.-287,Non-Coal Mining,11 Feb 2016,11/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/49026/2016&type=EC&ID=12833
51,SIA/RJ/MIN/49040/2016,MANPURA OLD LIMESTONE KHANDA FARSI Q.L. AREA PLOT NO.-171,Non-Coal Mining,11 Feb 2016,11/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/49040/2016&type=EC&ID=12847
52,SIA/RJ/MIN/49052/2016,MANPURA OLD LIMESTONE KHANDA FARSI Q.L. AREA PLOT NO.-147,Non-Coal Mining,11 Feb 2016,11/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/49052/2016&type=EC&ID=12859
53,SIA/RJ/MIN/49410/2016,SAWA NEW LIMESTONE KHANDA FARSI Q.L. AREA PLOT NO.-20,Non-Coal Mining,15 Feb 2016,15/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/49410/2016&type=EC&ID=13211
54,SIA/RJ/MIN/49490/2016,MASONRY STONE MINING PROJECT (ML No-25/2011),Non-Coal Mining,15 Feb 2016,15/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/49490/2016&type=EC&ID=13290
55,SIA/RJ/MIN/49508/2016,"Sand Stone Mining Project, ML No 27/1994",Non-Coal Mining,15 Feb 2016,15/02/2016,,,12/04/2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/49508/2016&type=EC&ID=13308
56,SIA/RJ/MIN/182400/2020,"“Masonary Stone (Minor Mineral) Mining Project” (Reference No. 201810000423, Area – 2.00 Ha, Production Capacity – 121000 TPA (ROM) {Saleable Mineral- 108900    TPA ,  Waste - 12100 TPA}  at Near village– Manpura ,Tehsil-Bidasar , District – Churu (R",Non-Coal Mining,07 Nov 2020,07/11/2020,,,05/01/2021,,,10/03/2021,,11/06/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/182400/2020&type=EC&ID=142630
57,SIA/RJ/MIN/50062/2016,NAYAGAON QUARTZ & FELDSPAR MINE M.L. NO.-38/07,Non-Coal Mining,20 Feb 2016,20/02/2016,,,12/04/2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/50062/2016&type=EC&ID=13933
58,SIA/RJ/MIN/41661/2016,"Tikar Phyllite Schist Mining Project (ML No. 2/98)
Area - 1.00 ha",Non-Coal Mining,19 Jan 2016,19/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41661/2016&type=EC&ID=10450
59,SIA/RJ/MIN/41677/2016,odwas serpentine mining project.,Non-Coal Mining,19 Jan 2016,19/01/2016,,,12/04/2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41677/2016&type=EC&ID=10465
60,SIA/RJ/MIN/41711/2016,Lakhanpur (M.L. No. 269/04) Masonary Stone Mine ,Non-Coal Mining,19 Jan 2016,19/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41711/2016&type=EC&ID=10497
61,SIA/RJ/MIN/41717/2016,RANSIGAON LIMESTONE MINE  M.L. NO.  – 85/2011 SH. REWAT RAM,Non-Coal Mining,19 Jan 2016,19/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41717/2016&type=EC&ID=10502
62,SIA/RJ/MIN/41740/2016,Taski (M.L. No. 139/06) Masonary Stone Mine ,Non-Coal Mining,19 Jan 2016,19/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41740/2016&type=EC&ID=10522
63,SIA/RJ/MIN/55033/2016,Sand Stone Quarry Area Q L No. 107 Somanada Teh. Shergarh Distt. Jodhpur,Non-Coal Mining,31 May 2016,31/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/55033/2016&type=EC&ID=21298
64,SIA/RJ/MIN/38676/2019,Barla Granite Mining Project,Non-Coal Mining,05 Jul 2019,05/07/2019,,,12/07/2019,,,,,14/11/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/38676/2019&type=EC&ID=57175
65,SIA/RJ/MIN/53518/2016,QL. NO. 600 FIDUSAR SANDSTONE,Non-Coal Mining,06 May 2016,06/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53518/2016&type=EC&ID=19893
66,SIA/RJ/MIN/53661/2016,SOJATKHANDAPATIKATLAQLNO70,Non-Coal Mining,12 May 2016,12/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53661/2016&type=EC&ID=20012
67,SIA/RJ/MIN/53666/2016,SOJAT KANDA PATTI KATLA QL NO   89,Non-Coal Mining,12 May 2016,12/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53666/2016&type=EC&ID=20017
68,SIA/RJ/MIN/49964/2016,"Tikhi Masonary Stone Mine, M.L.No. 312/2006, Nv-Tikhi, Tehsil & Dist. Jalore",Non-Coal Mining,19 Feb 2016,19/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/49964/2016&type=EC&ID=13846
69,SIA/RJ/MIN/49995/2016,manpura,Non-Coal Mining,19 Feb 2016,19/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/49995/2016&type=EC&ID=13872
70,SIA/RJ/MIN/136430/2020,"SHRI RAJESH KUMAR [MASONRY STONE MINING PROJECT, M.L. NO. 103/2009]",Non-Coal Mining,11 Jan 2020,11/01/2020,,,28/01/2020,,,09/11/2020,17/01/2022,02/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/136430/2020&type=EC&ID=85617
71,SIA/RJ/MIN/62439/2017,"Sand Stone Mining Project of M/s. Rajput & Company (Q.L.No.-04/2001, Lease Area - 4.00 Ha.), Located Near Village - Badli, Tehsil & District - Jodhpur (Rajasthan)",Non-Coal Mining,10 Feb 2017,10/02/2017,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/62439/2017&type=EC&ID=34102
72,SIA/RJ/MIN/41704/2016,"Kaji Gurha Quartz and Feldspar Mining Project (ML No. 33/11)
Area - 4.80 ha)",Non-Coal Mining,19 Jan 2016,19/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41704/2016&type=EC&ID=10490
73,SIA/RJ/MIN/41745/2016,Tarwa Sandstone Mine,Non-Coal Mining,19 Jan 2016,19/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41745/2016&type=EC&ID=10527
74,SIA/RJ/MIN/37723/2016,"Masonry Stone Mining Project, M.L.no.218/99, Area-1.00 hect. Near Village- Nimoriya, Tehsil- Chaksu, District- Jaipur, Shri Vishnu Kumar Sharma",Non-Coal Mining,01 Jan 2016,01/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/37723/2016&type=EC&ID=6814
75,SIA/RJ/MIN/140004/2020,Expansion in production capacity from 8861 TPA to 249984 TPA of Kunda Soapstone  Mining project,Non-Coal Mining,04 Feb 2020,04/02/2020,,,16/07/2020,,,18/01/2021,,09/06/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/140004/2020&type=EC&ID=86519
76,SIA/RJ/MIN/38136/2016,"Masonry Stone Mining Project, M.L.no.104/08, area- 1.00 Hect. Near Village- Kalwan, Tehsil- Sakrai, District- Dausa, Shri Brij Mohan Gurjar",Non-Coal Mining,05 Jan 2016,05/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/38136/2016&type=EC&ID=7265
77,SIA/RJ/MIN/53807/2016,Proposed Sand Stone Quarry Mine QL No. 1531 Balsamand Fidusar Teh. & Distt. Jodhpur Shri Chiman Lal,Non-Coal Mining,17 May 2016,17/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53807/2016&type=EC&ID=20143
78,SIA/RJ/MIN/53891/2016,Proposed Sand Stone Quarry Mine QL No. 665 Fidusar Distt. Jodhpur,Non-Coal Mining,19 May 2016,19/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53891/2016&type=EC&ID=20202
79,SIA/RJ/MIN/60768/2016,"Naharwari Masonary Sone Mine 
M.L. No. 148/1991",Non-Coal Mining,30 Nov 2016,30/11/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/60768/2016&type=EC&ID=32953
80,SIA/RJ/IND2/17870/2016,"Expansion in Chlor-Alkali & Stable Bleaching Powder Plant at Existing Facility at Shriram Nagar Industrial Area, Kota, Rajasthan",Industrial Projects - 2,01 Dec 2016,01/12/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/IND2/17870/2016&type=EC&ID=32961
81,SIA/RJ/MIN/53806/2016,Proposed Sand Stone Quarry Mine QL No. 205 Fidusar Teh. & Distt. Jodhpur Shri Dudaram,Non-Coal Mining,17 May 2016,17/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53806/2016&type=EC&ID=20142
82,SIA/RJ/MIN/53887/2016,"Borawar Kumari Range Marble Area  over an area of 1.00 hect. (Q.L. No. 04/05)  Near Village – Borawar Kumari Range, Tehsil- Makrana & District– Nagaur (Raj.) in favor of Sh. Jabbar Singh Jat S/O Sh. Ugma Ram Jat",Non-Coal Mining,18 May 2016,18/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53887/2016&type=EC&ID=20198
83,SIA/RJ/MIN/53892/2016,Proposed Sand Stone Quarry Mine QL No. 578 Keru Distt. Jodhpur,Non-Coal Mining,19 May 2016,19/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53892/2016&type=EC&ID=20203
84,SIA/RJ/MIN/61295/2016,Kundala Ki Dhani Masonry Stone Mine (M.L. 286/2005),Non-Coal Mining,26 Dec 2016,26/12/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/61295/2016&type=EC&ID=33308
85,SIA/RJ/MIN/5955/2015,"Marble Mining Project, M.L No. 97/02, Area- 4.380505 by M/s Arora's J. K Natural Marble Ltd.",Non-Coal Mining,30 Dec 2015,30/12/2015,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/5955/2015&type=EC&ID=6108
86,SIA/RJ/MIN/37020/2015,Adwara Siyana Masonry Stone Mining Lease Area.,Non-Coal Mining,30 Dec 2015,30/12/2015,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/37020/2015&type=EC&ID=6137
87,SIA/RJ/MIN/58624/2016,"China Clay & Red Ochre Mining Project (M.L.No.–1/1994, Area – 24.585 Ha.) located n/v-Sehnva, Tehsil-Chittorgarh, District-Chittorgarh, Rajasthan of Shri Mohammad Siddiq Aarif Khan",Non-Coal Mining,27 Aug 2016,27/08/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/58624/2016&type=EC&ID=25243
