,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
1269,SIA/RJ/MIN/39791/2016,MANDALDA MARBLE BLOCK AND KHANDA PLOT NO-33,Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39791/2016&type=EC&ID=8725
1270,SIA/RJ/MIN/39802/2016,"Proposed Thoriya Khera Quartz & Feldspar Mining Project,M.L.No-121/02,Production Capacity-16662 TPA,M.L.Area-4.76 Ha",Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39802/2016&type=EC&ID=8735
1271,SIA/RJ/MIN/39816/2016,tripura sundari marble mining project,Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39816/2016&type=EC&ID=8746
1272,SIA/RJ/MIN/39849/2016,Basni Quartz and Feldspar Mining Project (ML No. 38/08),Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39849/2016&type=EC&ID=8775
1273,SIA/RJ/MIN/39854/2016,Shitla Ka Chora Patti katla Quarry Licence Area (Q.L. No-33),Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39854/2016&type=EC&ID=8780
1274,SIA/RJ/MIN/39866/2016,Tirisingra Masonary stone mine (m.l. no. 192/07),Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39866/2016&type=EC&ID=8790
1275,SIA/RJ/MIN/148825/2020,"Masonry Stone Mining Project (Area 1.0 ha and Reference No. 2019100004078) with production capacity of 67694 TPA located Near Village Janupura, Tehsil Bap, Distt- Jodhpur (Rajasthan)  by Shri Raval Da",Non-Coal Mining,19 Jun 2020,13/03/2020,18/03/2020,19/06/2020,16/07/2020,,,18/01/2021,27/01/2021,16/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/148825/2020&type=EC&ID=98585
1276,SIA/RJ/MIN/148880/2020,"Smt. Dharmi Devi, Idarla Granite Mine  ML. No.-16/2019 (Ref. No.-2019100009665)",Non-Coal Mining,23 Dec 2020,23/12/2020,,,22/02/2021,,,26/04/2021,10/09/2021,09/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/148880/2020&type=EC&ID=98599
1277,SIA/RJ/MIN/148931/2020,Masonary Stone Mine (m.l no 97/2019),Non-Coal Mining,14 Mar 2020,14/03/2020,,,20/07/2020,,,06/01/2021,22/01/2021,10/02/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/148931/2020&type=EC&ID=98615
1278,SIA/RJ/MIN/41139/2016,"Masonary stone minning Project
ML No.-16-1997
Area-1.00Hect.
Lessee-Om Prakash Mali
Near village-Dhugarh Asthal, Tehsil&Dist-Karauli(Raj)
",Non-Coal Mining,16 Jan 2016,16/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41139/2016&type=EC&ID=9966
1279,SIA/RJ/MIN/41145/2016,"Masonary stone minning Project
ML No.-32-06
Area-1.00 Hect.
Lessee-Bihari Lal Bairwa
Near village-Jatwari,Tehsil- Sapotra, Dist-Karauli(Raj)
",Non-Coal Mining,16 Jan 2016,16/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/41145/2016&type=EC&ID=9972
1280,SIA/RJ/MIN/48834/2016,Sathur Masonry Stone Mining Project ML No 265/2003 Lease Area 1.000 Hact. ,Non-Coal Mining,10 Feb 2016,10/02/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48834/2016&type=EC&ID=12655
1281,SIA/RJ/MIN/94157/2019,"Proposed Masonry Stone STP-01, STP Area- 0.9695 Hectare) Khasra No.–355/3) at Near Village Bitnokh, Tehsil- Kolayat, District- Bikaner (Rajasthan) by applicant M/S G.R. Infra Projects Limited.",Non-Coal Mining,04 Feb 2019,04/02/2019,,,14/02/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/94157/2019&type=EC&ID=52537
1282,SIA/RJ/MIN/53338/2016,Masonary Stone Mine ( M L NO. 24/1989 ),Non-Coal Mining,30 Apr 2016,30/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53338/2016&type=EC&ID=19753
1283,SIA/RJ/MIN/53357/2016,"Sand Stone Mine QL. 273 Keru
Distt. Jodhpur",Non-Coal Mining,01 May 2016,01/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53357/2016&type=EC&ID=19771
1284,SIA/RJ/MIN/53808/2016,Proposed Sand Stone Quarry Mine QL No. 409 Pabumagra Teh. & Distt. Jodhpur Shri Hanuman Ram,Non-Coal Mining,17 May 2016,17/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53808/2016&type=EC&ID=20144
1285,SIA/RJ/MIN/40370/2016,"Masonary Stone Mining Project,  58/2001, Area 1.00 Ha., located n/v - Ramsinghpura (Khurdiya), Tehsil - Neem Ka Thana, District - Sikar (Raj.) of Shri Manveer Singh.",Non-Coal Mining,12 Jan 2016,12/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/40370/2016&type=EC&ID=9250
1286,SIA/RJ/MIN/54279/2016,"SANDSTONE MINING PROJECT (Q.L. No. 1621)
BHOMIYA JI KA THAN Q.L. BOUNDARY",Non-Coal Mining,26 May 2016,26/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54279/2016&type=EC&ID=20569
1287,SIA/RJ/MIN/54286/2016,Masonry Stone Mining Project ML NO 431/2006,Non-Coal Mining,26 May 2016,26/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54286/2016&type=EC&ID=20577
1288,SIA/RJ/MIN/54305/2016,"SANDSTONE MINING PROJECT (Q.L. No. 1925)
BHOMIYA JI KA THAN Q.L. BOUNDARY",Non-Coal Mining,27 May 2016,27/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54305/2016&type=EC&ID=20595
1289,SIA/RJ/MIN/54337/2016,"Sandstone Mining Project ( Q l No. 489 )
Bhomiya Ji Ka Than",Non-Coal Mining,27 May 2016,27/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54337/2016&type=EC&ID=20627
1290,SIA/RJ/MIN/42891/2019,"Quartz & Feldspar Mining Project, Ref. No.- 2018100001854, M.L. No. 139/2018",Non-Coal Mining,14 Sep 2019,14/09/2019,,,27/09/2019,,,06/07/2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/42891/2019&type=EC&ID=63617
1291,SIA/RJ/MIN/40495/2019,"RENU [PLOT NO. 47, SILICA SAND]",Non-Coal Mining,03 Aug 2019,03/08/2019,,,20/09/2019,,,,,04/03/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/40495/2019&type=EC&ID=59072
1292,SIA/RJ/MIN/182157/2020,Sakdara Granite Mine (M. L. No. 55/2011),Non-Coal Mining,17 Nov 2020,06/11/2020,09/11/2020,17/11/2020,06/01/2021,,,16/03/2021,29/12/2021,16/06/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/182157/2020&type=EC&ID=142572
1293,SIA/RJ/MIN/54777/2016,"SANDSTONE MINING PROJECT (Q.L. No. 823)
BHOMIYA JI KA THAN QUARY BOUNDARY",Non-Coal Mining,31 May 2016,31/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54777/2016&type=EC&ID=21060
1294,SIA/RJ/MIN/54786/2016,Sandstone mining projct ( Q L No. 2201 ) Bhomiya Ji Ka Than ,Non-Coal Mining,31 May 2016,31/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54786/2016&type=EC&ID=21069
1295,SIA/RJ/MIN/54787/2016,Sandstone Mining Project(QL. NO.23),Non-Coal Mining,31 May 2016,31/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54787/2016&type=EC&ID=21070
1296,SIA/RJ/MIN/54791/2016,Sand Stone Querry Area Q L No. 292 BKT Balesar Teh. Shergarh Distt. Jodhpur,Non-Coal Mining,31 May 2016,31/05/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/54791/2016&type=EC&ID=21074
1297,SIA/RJ/MIN/170071/2020,"“Granite Mining Project” (Minor Mineral), [M.L. No. 19/2020] Near Village-Juniya, Tehsil –Kekri, District – Ajmer (Rajasthan) over an area of 1.5307 Ha. with proposed Production Capacity of 199080 TPA (ROM) by M/s P.K. Granites & Marbles Pvt. Ltd.",Non-Coal Mining,28 Aug 2020,28/08/2020,,,23/09/2020,,,28/01/2021,09/04/2021,26/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/170071/2020&type=EC&ID=125582
1298,SIA/RJ/MIN/159976/2020,"STP for Masonry Stone Mining Project (ML Area-0.96 ha Reference No.-20191000011523) with production capacity of 43,375 TPA ROM located at Khasra No.-1231 Near Village-Hajisagar, Tehsil-Bapini, Distt.-",Non-Coal Mining,07 Jul 2020,06/07/2020,06/07/2020,07/07/2020,05/08/2020,,,20/08/2020,,06/10/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/159976/2020&type=EC&ID=114254
1299,SIA/RJ/MIN/39785/2016,Kaji Gurha Quartz & Feldspar Mining Project (M.L. No. 600/2011) Area 4.8131 Hect.,Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39785/2016&type=EC&ID=8720
1300,SIA/RJ/MIN/40906/2016,Mewanagar Masonry Stone Mine,Non-Coal Mining,14 Jan 2016,14/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/40906/2016&type=EC&ID=9745
1301,SIA/RJ/MIN/40951/2016,NARELA Q.L. AERA PLOT NO.-336,Non-Coal Mining,14 Jan 2016,14/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/40951/2016&type=EC&ID=9789
1302,SIA/RJ/MIN/39921/2016,"Proposed Masonry Stone Mine,M.L.No.-150/2009,Production Capacity-60,000 TPA,M.L.Area-1.00 Ha",Non-Coal Mining,11 Jan 2016,11/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39921/2016&type=EC&ID=8836
1303,SIA/RJ/MIN/39993/2016,Ganora Masonary Stone Mine (M.L.No-518/2007),Non-Coal Mining,12 Jan 2016,12/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39993/2016&type=EC&ID=8887
1304,SIA/RJ/MIN/40000/2016,"Kharda (Modi Bhakri) Rhyolite Mine, ML no. 192/96",Non-Coal Mining,12 Jan 2016,12/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/40000/2016&type=EC&ID=8892
1305,SIA/RJ/MIN/40005/2016,"Masonry Stone Mining Project, M.L. No. 17/2003, Area: 1.00 ha. ",Non-Coal Mining,12 Jan 2016,12/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/40005/2016&type=EC&ID=8897
1306,SIA/RJ/MIN/45468/2019,"Short Term Permit of Masonry Stone S.T.P. No. 20191000011901, Khasra no.30, M.L. Area – 1.0 hect. Near Village- Bambuliya Ghata, Tehsil – Pipalda, District – Kota  (Raj.)",Non-Coal Mining,25 Oct 2019,25/10/2019,,,29/11/2019,,,,,10/02/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/45468/2019&type=EC&ID=70203
1307,SIA/RJ/MIN/40338/2016,Paneri Quartz & Feldspar Mining Projec (M.L. No 289/05)Area 4.5 Hect.,Non-Coal Mining,12 Jan 2016,12/01/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/40338/2016&type=EC&ID=9221
