,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
59,SIA/OR/INFRA2/411058/2022,Proposed Commercial Cum Residential Building ,INFRA-2,11-Jan-23,08-01-2023,09-01-2023,11-01-2023,12-01-2023,,,27-01-2023,,18-10-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/INFRA2/411058/2022&type=EC&ID=215033
60,SIA/OR/THE/415567/2023,"2 x 30 MW Independent Power Producers Thermal Power Plant located at Village–Bainchua, Tehsil – Tangi, District–Cuttack, State-Odisha by M/s Maadurga Thermal Power Company Limited",Thermal Projects,21-Feb-23,27-01-2023,01-02-2023,01-02-2023,02-02-2023,,21-02-2023,04-02-2023,,08-05-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/THE/415567/2023&type=EC&ID=215803
61,SIA/OR/MIN/415503/2023,"APPLICATION FOR FRESH ENVIRONMENTAL CLEARANCE FOR KHARASROTA RIVER SAND QUARRY, GOUDASAHI OVER AN AREA OF 12.00 ACRES OR 4.857 HA. IN VILLAGE GOUDASAHI OF BINJHARPUR TAHASIL OF JAJPUR DISTRICT,ODISHA",Non-Coal Mining,07-Mar-23,22-01-2023,02-02-2023,07-03-2023,13-04-2023,,,20-05-2023,,04-10-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/415503/2023&type=EC&ID=215580
62,SIA/OR/MIN/429072/2023,"Proposal for Fresh EC of Basupali Stone Quarry No-2 over an area of 5.00 Acres or 2.023 Ha having Khata No.14, Plot No. 79 in village Basupali under Bolangir Tahasil of Bolangir District, Odisha.",Non-Coal Mining,12-May-23,12-05-2023,,,16-05-2023,,,31-05-2023,,30-06-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/429072/2023&type=EC&ID=219640
63,SIA/OR/MIN/428019/2023,"For the grant of EC of Brahmani river sand, Chandamohini Quarry (Khata No-149(AAA), Plot No-159) over an area of 9.85 acres or 3.986 hacters in village Chandamohini under Dharmasala Tahasil of  Jajpur District, Odisha.",Non-Coal Mining,04-May-23,04-05-2023,,,03-07-2023,,,07-08-2023,,26-09-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/428019/2023&type=EC&ID=219308
64,SIA/OR/MIN/415407/2023,"Proposal for Fresh EC of Parsurampur Morrum Quarry over an area of 2.00 Acres or 0.809 Ha at village Parsurampur, Tahasil-Parlakhemundi, Dist-Gajapati, Odisha of Sri Sridhar Kumar Mishra",Non-Coal Mining,21-Jan-23,21-01-2023,,,02-02-2023,,,10-02-2023,,27-04-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/415407/2023&type=EC&ID=215549
65,SIA/OR/MIN/417081/2023,Dankari Black Stone Quarry No.17 over 2.023 Ha in Village Dankari Dharmasala Tahasil  in the District Jajpur,Non-Coal Mining,16-Feb-23,06-02-2023,09-02-2023,16-02-2023,16-02-2023,,,23-02-2023,,08-05-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/417081/2023&type=EC&ID=216190
66,SIA/OR/MIN/429084/2023,"Proposal for Fresh EC of Basupali Stone Quarry No-4 over an area of 5.00 Acres or 2.023 Ha having Khata No.14, Plot No. 79 in village Basupali under Bolangir Tahasil of Bolangir District, Odisha.",Non-Coal Mining,12-May-23,12-05-2023,,,16-05-2023,,,31-05-2023,,30-06-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/429084/2023&type=EC&ID=219647
67,SIA/OR/IND2/35242/2019,"Production of 2.058 kld of country liquor from Kusumi OS Shop at Badakushasthali village in Ganjam district, Odisha",Industrial Projects - 2,25-Apr-19,25-04-2019,,,15-05-2019,,,27-05-2019,17-07-2019,25-07-2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/35242/2019&type=EC&ID=58736
69,SIA/OR/MIN/423372/2023,Baghia Stone Quarry Over an area of 4.92 Acre or 1.99 Hectares in village Baghia under Jamda Tahasil of Mayurbhanj District of Odisha.,Non-Coal Mining,25-Mar-23,25-03-2023,,,11-04-2023,,,20-05-2023,,21-07-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/423372/2023&type=EC&ID=217991
