,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
2921,SIA/TG/MIN/432043/2023,M/S. Ambedkar Granites,Non-Coal Mining,03 Jun 2023,03/06/2023,,,06/06/2023,,,08/06/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/432043/2023&type=EC&ID=220843
2922,SIA/TG/MIN/72609/2018,M/s Saviour Mines & Minerals Pvt. Ltd [Gopularam Laterite Mine],Non-Coal Mining,31 Jan 2018,31/01/2018,,,06/02/2018,,,09/02/2018,17/04/2018,26/04/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/72609/2018&type=EC&ID=42238
2923,SIA/TG/NCP/74572/2018,"Phoenix Embassy Tech zone Pvt. Ltd.
(IT / ITES Office complex)
",INFRA-1,14 Apr 2018,14/04/2018,,,17/04/2018,,,19/04/2018,02/08/2018,26/04/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/NCP/74572/2018&type=EC&ID=43665
2924,SIA/TG/MIN/72408/2018, BSCPL Infrastructure LTD,Non-Coal Mining,22 Jan 2018,22/01/2018,,,06/02/2018,,,09/02/2018,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/72408/2018&type=EC&ID=42093
2925,SIA/TG/MIN/425699/2023,"Proposed sand mining over an extent of 13.0 Hectares Dharmavaram - II Sand Reach on Godavari River, Dharmavaram Village, Wazeedu Mandal, Mulugu District, Telangana State. by M/s TSMDC Ltd",Non-Coal Mining,11 Apr 2023,11/04/2023,,,20/04/2023,,,28/04/2023,,06/05/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/425699/2023&type=EC&ID=218684
2926,SIA/TG/MIN/58366/2016,TELANGANA STATE MINERAL DEVELOPMENT CORPORATION LIMITED,Non-Coal Mining,12 Aug 2016,12/08/2016,,,18/09/2016,,,25/09/2016,03/12/2016,22/12/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/58366/2016&type=EC&ID=24340
2927,SIA/TG/MIN/418011/2023,M/s. Narasimha Stone Crusher,Non-Coal Mining,13 Feb 2023,13/02/2023,,,08/03/2023,,,17/03/2023,,28/06/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/418011/2023&type=EC&ID=216431
2928,SIA/TG/INFRA2/418729/2023,S V Lake woods by M/s Sree Venkateswara Infra,INFRA-2,16 Feb 2023,16/02/2023,,,08/03/2023,,,17/03/2023,,28/04/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/418729/2023&type=EC&ID=216621
2929,SIA/TG/IND3/437080/2023,"Proposed Expansion of Active Pharmaceutical Ingredients (APIs) and Intermediates Manufacturing Unit along with R&D Facility located at Plot No. 29, 30, 31, 32, 39, 40, 41 & 42, Phase-II of IDA, Pashamailaram, Patancheru (M), Sangareddy District, Telangana State by M/s. Valentis Laboratories Private Limited",Industrial Projects - 3,18 Jul 2023,18/07/2023,,,24/07/2023,,,24/07/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/IND3/437080/2023&type=EC&ID=222888
2930,SIA/TG/MIN/69021/2017,"M/s BHP Granites Pvt. Ltd.1.950 Hectares, situated in Sy. No. 245 of Ammanagurthy (Village),   Saidapur (Mandal), Karimnagar (District)",Non-Coal Mining,13 Sep 2017,13/09/2017,18/09/2017,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/69021/2017&type=EC&ID=38499
