Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1100,SIA/BR/MIN/134030/2019,,"Brick Earth Mining Project at Village- Jafra, P.O- Sarawe, P.S- Muffasil Siwan, Anchal- Siwan Sadar, District- Siwan (Bihar)",M/S- A.K.S ENT UDYOG,Delisted,EC,
1102,SIA/BR/MIN/131011/2019,,MAHADEV INT UDYOG- BRICK EARTH MINING PROJECT,MAHADEV INT,Delisted,EC,
1106,SIA/BR/MIN/138332/2020,,"Vrindavan (Khasra No. 4668, 4680, 4876, 4783, 4772, 4782, 4779, 4776, 4760, 4761, 4778, 4773, 4777, 4779, 4762, 4380, 4783 ) soil brick mining project.",M/S LAXMI INT UDYOG,Delisted,EC,
1107,SIA/BR/MIS/286711/2022,SIA/8(a)/2044/2022,Proposed Residential Building  “Regency Towers” NBCC Phase-II by NBCC (India) Limited,KUMAR SINHA,EC Granted,EC,
1109,SIA/BR/MIN/32949/2006,,Proposed Sand Mining Project  of  area 5.0  ha at  Jagiritola Malahi Ghat on Gandak River of District- Gopalganj  of State-Bihar,MR KAMAKHYA MISHRA,Pending at PP due to eds,EC,
1110,SIA/BR/NCP/64874/2017,SIA/8(a)/465/17,"Proposed Group Housing Project “The Great Ashoka City” at Thana no. 19, mauza ranipur, Patna, Bihar",APARNA ARCHITECT AND ENGICONS PVT LTD,EC Granted,EC,
1112,SIA/BR/MIN/153240/2020,,m/s komal int udyog,M/S KOMAL INT UDYOG,Delisted,EC,
1118,SIA/BR/MIN/134328/2019,,ASTHA  GOLD BRICKS,M/S ASTHA  GOLD BRICKS,Delisted,EC,
1119,SIA/BR/MIN/138623/2020,,"BRICK EARTH MINING PROJECT FOR MAUZA HARLOCHANPUR, SARAIRANJAN, SAMASTIPUR, AREA 3.00 Ac, 1.21 Ha",M/S BHAGWATI BRICKS PROP PANKAJ KUMAR JHA,Delisted,EC,
1120,SIA/BR/IND3/69464/2021,SIA/5(f)/1714/2021,Setting up a Formaldehyde manufacturing unit M/s Samrat Laboratories,SAMRAT LABORATORIES,EC Granted,EC,
1121,SIA/BR/MIN/69944/2017,,"Proposed Sand Mining Project at Usewa Sand Ghat, Morhar River",WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
1122,SIA/BR/MIN/70064/2017,,Proposed Sand Mining Project at Hasanpur Sand Ghat on Morhar River,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
1123,SIA/BR/MIN/32328/2015,SIA/1(a)/54/2015,M/s Malik Int Udyog,SRI NARAYAN DUBEY,Delisted,EC,
1124,SIA/BR/MIN/167372/2020,,ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD MAUZA SHANKARPUR,BSCPL INFRASTRUCTURE LTD MAUZA SHANKARPUR AREA 8.36,Delisted,EC,
1129,SIA/BR/MIS/121529/2019,SIA/8(a)/695/19,Ashiyana Green City (Phase-2),ASHIANA CREATORS PRIVATE LIMITED,EC Granted,EC,
1132,SIA/BR/MIN/31363/2015,SIA/1(a)/13/2015,L.B.F Bricks Udyog,YADUNANDAN CHAUHAN,Delisted,EC,
1133,SIA/BR/MIN/126317/2019,,me,M/S MARYADA EARTH,Delisted,EC,
1136,SIA/BR/MIN/130671/2019,,Proposed Brick Earth Mining Project,D.R.C BRICKS,Delisted,EC,
1137,SIA/BR/MIN/136307/2020,,S.B.M BRICKS,S.B.M BRICKS,Delisted,EC,
1143,SIA/BR/MIN/132541/2019,,"Shahpur (Gata No. 483,484, 485,532, 531,529, 530,534 )  brick earth (soil) mining project.",M/S CHOUDHARY INT UDYOG,Delisted,EC,
1144,SIA/BR/MIS/134870/2020,SIA/8(a)/984/2020,Venus Empire,VENUS STAR CONSTRUCTION PVT LTD,EC Granted,EC,
1145,SIA/BR/MIN/134978/2020,,"BRICK EARTH MINING PROJECT FOR M/S. A.B.M. INT UDYOG, MAUZA- CHANAKI, CIRCLE- DHANARUA, DISTRICT- PATNA, AREA- 2.85 Ac, 1.15 Ha","M/S A.B.M. INT UDYOG, PROP- MADAN KISHOR PRASAD",Delisted,EC,
1146,SIA/BR/MIN/135132/2020,,"BRICK EARTH MINING PROJECT FOR M/S. P.K.S. BRICKS MAUZA- PACHAUT, P.S- BELDAUR, DISTRICT- KHAGARIA, AREA- 3.73 Ac,1.51Ha","M/S. P.K.S. BRICKS, PROP- PUSHPENDRA KUMAR SINGH, MAUZA- PACHAUT",Delisted,EC,
1150,SIA/BR/MIS/230256/2021,SIA/8(a)/1592/2021,Proposed Commercial Cum Hotel Building by Kumar Infratrade Enterprises Pvt. Ltd.,KUMAR INFRATRADE ENTERPRISES PVT. LTD.,EC Granted,EC,
1152,SIA/BR/MIN/135758/2020,,"Proposed Brick Earth Mining Project of Area 1.21 Hectare Or 3.00 Acre  M/s Chandani Int Udyog at Mauza- Matiaria, P.O + P.S + Block: Lauria, District-West Champaran, State – Bihar",M/SCHANDANI INT UDYOG,Delisted,EC,
1164,SIA/BR/MIS/160113/2020,SIA/8(a)/1262/2020,Shrinivas medical College & Hospital,SHRINIVAS MEDICAL COLLEGE AND HOSPITAL,EC Granted,EC,
1165,SIA/BR/MIN/143885/2020,,BRICK EARTH MINING PROJECT M/S BHARAT EET UDYOG MAUZA RAMPUR SAIDPUR RUNNI RUNNI SAIDPUR SITAMARHI AREA 2.52,M/S BHARAT EET UDYOG RPOP MERAJ KHAN AREA 2.52,Delisted,EC,
1170,SIA/BR/MIN/66034/2017,SIA/1(a)/553/18,Sand Mining Project at Jhinaura Sand Ghat (Block no-9) on Kiul River.,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
1177,SIA/BR/INFRA2/431928/2023,SIA/8(a)/2433/2023,"Proposed Residential Cum Commercial Building “Green Meadows” at Mustafapur, Patna, Bihar",YASH RAJ BUILDERS AND PROMOTERS PRIVATE LIMITED,Agenda Uploaded by SEIAA,EC,
1184,SIA/BR/MIN/34525/2019,,Belwa Balu Ghat on Baghmati River,VINAY  KUMAR,Pending at PP due to eds,EC,
1185,SIA/BR/IND2/19540/2016,SIA/6(b)/332/16,HINDUSTAN PETROLEUM CORPORATION LIMITED,Hindustan Petroleum Corporation Limited,EC Granted,EC,
1190,SIA/BR/INFRA2/409622/2022,SIA/8(a)/2074/2022,"Construction of Permanent Structures in Campus of S.D.R.F. Bihta, Patna on EPC (Engineering Procurement and Construction) basis",Public Works Department,EC Granted,EC,
1191,SIA/BR/MIN/128786/2019,,"Brick Earth Mining Project at Village- Padri, P.O- Churamanpur, P.S – Buxar, District- Buxar(Bihar)",M/S VIKASH BRICKS,Delisted,EC,
1193,SIA/BR/MIN/34115/2019,SIA/1(a)/525/18,Sheikhpura stone mines,SBIDPL,EC Granted,EC,
1194,SIA/BR/MIN/17387/2015,SIA/1(a)/349/16,Proposed Sand Mining Project of Area 5.0 Ha at Jagiritola Malahi  Ghat on Gandak River of District-Gopalganj of State-Bihar.,KATYAYNI CONTRACTORS PRIVATE LIMITED,EC Granted,EC,
1195,SIA/BR/MIN/41904/2019,,Proposed Sand Mining Project of Area 3.5 Ha at Rajwahi Yadavpur Ghat on Gandak River of District-Gopalganj of State-Bihar,MR KAMAKHYA MISHRA,Pending at PP due to eds,EC,
1196,SIA/BR/MIN/30932/2019,SIA/1(a)/541/18,"Khairi Sand Ghat Mining Project of Area 21.0 ha of Lakhisarai District, Bihar on Kiul River",WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,
1198,SIA/BR/MIN/59077/2020,,Balu Ghat Mining Project (Patna Son 2 Balu Ghat),SHRI BIJENDRA   SINGH,Pending at PP due to eds,EC,
1210,SIA/BR/MIN/59818/2016,,"Balu/ Sand Mining (Minor Mineral); M.L. Area- 3.2 ha, Cat.- B2 at Khapara Ghat of Mahani River in Tehsil: Sangrampur, District- Munger (Bihar).",NM FOOD PRODUCT PVT LTD,TransferToDEIAA,EC,
1211,SIA/BR/MIN/35128/2019,,BRICK EARTH MINING FOR MAA SHOBHA BELHAR,SHOBHA BRICKS BELHAR,Delisted,EC,
1215,SIA/BR/MIS/129752/2019,SIA/8(a)/983/2020,Bhawani Height,BHAWANI INFRACON PVT LTD,EC Granted,EC,
1216,SIA/BR/MIN/129762/2019,,"Rifatpur (Khasra No. 3212, 3503 ) soil brick mining project.",RIFATPUR SOIL BRICK.,Delisted,EC,
1222,SIA/BR/MIN/32207/2019,SIA/1(a)/537/18,"Barui Pachna & Pachna Stone Mine   (ML Area– 6.88 Ha.) Production capacity of 14,07,224 TPA",PRINCECONSJAMUI,EC Granted,EC,
1227,SIA/BR/IND/73390/2021,SIA/3(a)/1849/2021,M/s Tejas Iron & Steel Pvt. Ltd.,M/S TEJAS IRON & STEEL PVT. LTD.,EC Granted,EC,
1228,SIA/BR/MIN/60661/2016,SIA/1(a)/397/16,Sand Mining Project at Haripur & Sadashivpur Ghat on River Son,BROADSON COMODITIES PVT LTD,EC Granted,EC,
1229,SIA/BR/MIN/31380/2015,SIA/1(a)/15/2015,Kajal Int Udyog,NARESH PRASAD SINGH,Delisted,EC,
1236,SIA/BR/MIN/137549/2020,,BRICK EARTH MINING PROJECT EARTH FOR M/S ABBAS BRICK COMPANY MAUZA NECHUA KHAS KUCHAIKOT GOPALGANJ AREA 2.50 Ac 1.01 Ha,M/S ABBAS BRICKS COMPANY PROP ABBAS ALI ANSARI,Delisted,EC,
1240,SIA/BR/MIN/137847/2020,,"BRICK EARTH MINING PROJECT FOR M/S RESHMI INT UDYOG, MAUZA AMNAWAN, ISLAMPUR, DISTRICT NALANDA AREA- 3.01 Ac, 1.21 Ha",M/S RESHMI INT UDYOG PROP ABHISHEK KUMAR,Delisted,EC,
1244,SIA/BR/MIN/146893/2020,,ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD,BSCPL INFRASTRUCTURE LTD MAUZA CHERAKHERA AREA 4.87 AC,Delisted,EC,
1248,SIA/BR/MIN/60501/2016,SIA/1(a)/380/16,"Sand Mining Project at Veera & Godiha Ghat on River Falgu, district Jehanabad, Bihar",BANSHIDHAR CONSTRUCTION PVT LTD,EC Granted,EC,
1274,SIA/BR/MIN/65391/2017,SIA/1(a)/520/17,Sand Mining Project at Singha Sand Ghat on Paimar River.,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,
1275,SIA/BR/MIN/31562/2015,SIA/1(a)/28/2015,BRICK CLAY MINING PROJECT- GANESH INT UDYOG,GANESH INT UDYOG,Delisted,EC,
