,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
61,SIA/UK/MIN/34734/1900,Rajeev Singh Rawat,Non-Coal Mining,30 Sep 2019,30/09/2019,25/05/2019,30/09/2019,05/10/2019,,,,,31/12/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/34734/1900&type=EC&ID=54793
62,SIA/UK/MIN/44608/2019,Rampur Raighati Ahatmal RBM Project,Non-Coal Mining,11 Oct 2019,11/10/2019,,,26/10/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/44608/2019&type=EC&ID=68646
63,SIA/UK/IND3/234496/2021,"Environmental Clearance for Proposed Installation of Powder Coating Facility in existing manufacturing unit of Domestic Furniture, DG Set Canopies & Other Sheet Metal Parts by M/s Associated Engineers at Plot No. 1048, Central Hopetown, Selaqui, Tehs",Industrial Projects - 3,17 Oct 2021,17/10/2021,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND3/234496/2021&type=EC&ID=192329
64,SIA/UK/MIS/116640/2019,Trotting Wheels Pvt. Ltd,INFRA-2,02 Sep 2019,02/09/2019,,,04/10/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/116640/2019&type=EC&ID=63088
65,SIA/UK/MIN/43942/2019,Sumerpur RBM Project,Non-Coal Mining,02 Oct 2019,02/10/2019,,,11/10/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/43942/2019&type=EC&ID=67216
66,SIA/UK/MIN/191031/2021,Almas RBM Project,Non-Coal Mining,29 Jan 2021,02/01/2021,29/01/2021,29/01/2021,30/01/2021,,,14/03/2021,10/11/2021,12/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/191031/2021&type=EC&ID=156702
67,SIA/UK/MIN/33447/2019,"Maroda Sand, Bajri & Boulder",Non-Coal Mining,22 Mar 2019,22/03/2019,25/05/2019,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/33447/2019&type=EC&ID=54147
68,SIA/UK/MIN/53214/2019,"Soapstone Mining Project at Village Bheruchaubatta, Tehsil & District- Bageswar, Uttarakhand by Sh. Gopal Ram S/o Sh. Laccham Ram",Non-Coal Mining,19 May 2020,19/05/2020,,,27/05/2020,,,27/05/2020,04/07/2020,21/07/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/53214/2019&type=EC&ID=104858
69,SIA/UK/MIN/45829/2019,Ram Brick Field,Non-Coal Mining,05 Nov 2019,05/11/2019,05/12/2019,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/45829/2019&type=EC&ID=70504
70,SIA/UK/MIS/194746/2021,Daffohils laboratories private limited,INFRA-2,01 Mar 2021,01/03/2021,,,10/03/2021,,,14/03/2021,15/06/2021,01/01/1900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/194746/2021&type=EC&ID=160470
71,SIA/UK/NCP/96917/2019,"Environment Clearance for installation of DG Set and Enhancement of Man power along with painting facility for Passenger Motor Car Service Centre in the existing complex by M/s Oberai Motors located at Plot No. B-115, Khatauni-74, P.O. Majra, Saharan",INFRA-1,22 Feb 2019,22/02/2019,,,22/05/2019,,,,,09/07/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/96917/2019&type=EC&ID=53277
72,SIA/UK/NCP/147507/2020,Dehradun Premier Motors Pvt. Ltd. Mothorowala,INFRA-1,06 Mar 2020,06/03/2020,,,23/05/2020,,,26/05/2020,04/07/2020,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/147507/2020&type=EC&ID=95262
73,SIA/UK/IND/245395/2021,Ashirwad Enterprises and Screening Plant,Industrial Projects - 1,17 Dec 2021,17/12/2021,,,28/12/2022,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND/245395/2021&type=EC&ID=195072
74,SIA/UK/MIN/39444/2019,RBM Project,Non-Coal Mining,05 Oct 2019,05/10/2019,28/09/2019,05/10/2019,05/10/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/39444/2019&type=EC&ID=57516
75,SIA/UK/MIS/118467/2019,JURS COUNTRY,INFRA-2,04 Jan 2020,04/01/2020,,,13/01/2020,,,15/02/2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/118467/2019&type=EC&ID=63751
76,SIA/UK/MIN/190909/2021,Syalsi RBM Project,Non-Coal Mining,29 Jan 2021,01/01/2021,29/01/2021,29/01/2021,05/08/2021,,,05/08/2021,10/11/2021,12/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/190909/2021&type=EC&ID=156670
77,SIA/UK/MIS/253612/2022,"Environmental Clearance for proposed establishment of 200 TPH Stone Crusher Plant along with DG set by Uttaranchal Stone Crusher (LLP) at Khasra No. 230 Ka Mi, 230 Ka, 223 Ka Mi, 223 Mi, 225, 226, 227 Ka, 230 Ka, Village Abdulapur Kenchiwala, Sahaspu",INFRA-2,27 Jan 2022,27/01/2022,,,28/12/2022,,,02/01/2023,,27/01/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/253612/2022&type=EC&ID=198438
78,SIA/UK/NCP/105851/2019,"Environmental Clearance for proposed manufacturing of Pharmaceutical Formulation Products along with installation of green insulated DG Set by M/s Ishaana Nutraceuticals Pvt. Ltd. at Khasra No. 1016, ",INFRA-1,28 Jun 2019,28/06/2019,26/06/2019,28/06/2019,20/07/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/105851/2019&type=EC&ID=55798
79,SIA/UK/MIS/267906/2022,SHRIPADMAVATI BALAJI PVT.LTD,INFRA-2,14 Apr 2022,14/04/2022,,,30/04/2023,,,30/04/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/267906/2022&type=EC&ID=202152
80,SIA/UK/MIN/41783/2019,Char RBM Mining Project,Non-Coal Mining,29 Aug 2019,29/08/2019,,,04/10/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/41783/2019&type=EC&ID=62853
81,SIA/UK/NCP/41176/2019,Environment Clearance for installation of DG Sets and Enhancement of Man power along with painting facility for Passenger Motor Car Service Centre in the existing complex by M/s Divine Automotives Pri,INFRA-1,14 Aug 2019,14/08/2019,,,04/10/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/41176/2019&type=EC&ID=61454
82,SIA/UK/MIS/203493/2021,"Hotel Project of M/S the Vilana at Khasra No.76/1, Area-812.34 m2 at Railway road, Rishikesh District- Dehradun, Uttarakhand 249201",INFRA-2,13 Mar 2021,13/03/2021,,,17/03/2021,,,17/03/2021,05/04/2021,31/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/203493/2021&type=EC&ID=173642
83,SIA/UK/MIN/213734/2021,Sand/Bajri/Boulder,Non-Coal Mining,01 Jun 2021,01/06/2021,,,02/07/2021,,,03/07/2021,21/07/2021,31/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/213734/2021&type=EC&ID=188053
84,SIA/UK/MIS/115216/2019,40 Bedded Hospital Project by M/s. Kala Health Care Pvt. Ltd,INFRA-2,21 Aug 2019,21/08/2019,,,04/10/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/115216/2019&type=EC&ID=62660
85,SIA/UK/NCP/130088/2019,"Environment Clearance for installation of DG Set in Motor Vehicle Service Center by M/s Oberai Motors Limited located at Plot No. 14, Transport Nagar, Saharanpur Road, District Dehradun, Uttarakhand",INFRA-1,07 Dec 2019,07/12/2019,,,10/12/2019,,,12/12/2019,22/01/2020,14/02/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/130088/2019&type=EC&ID=79037
86,SIA/UK/MIN/235155/2021,"Environment Clearance for expansion of M/s. Valley Hotel & Resorts project in Central Hope Town, Selaqui Industrial Area, Dehradun",Non-Coal Mining,21 Oct 2021,21/10/2021,28/10/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/235155/2021&type=EC&ID=192476
87,SIA/UK/MIN/42388/2019,Rampur Raighati Ahatmal III RBM Project,Non-Coal Mining,06 Sep 2019,06/09/2019,,,04/10/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/42388/2019&type=EC&ID=63249
88,SIA/UK/MIN/203118/2021,"Proposed Digging / Excavation of “Brick Earth” for Brick manufacturing from Lease area of Village Halduashahu & Jagatpur Patti, Tehsil – Jaspur, District Udham Singh Nagar, by M/s Golden Bricks Work, Village – Halduashahu, Tehsil – Jaspur, District U",Non-Coal Mining,12 Mar 2021,12/03/2021,,,14/03/2021,,,17/03/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/203118/2021&type=EC&ID=173532
89,SIA/UK/MIN/55927/2018,Nagkanyal-Kandekanya Soap Stone Deposit Project,Non-Coal Mining,26 Aug 2020,26/08/2020,,,28/09/2020,,,02/10/2020,26/10/2020,07/01/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/55927/2018&type=EC&ID=124476
90,SIA/UK/NCP/113830/2019,Environmental Clearance for Proposed Installation of Green insulated DG Set and Enhancement of Man Power to manufacture Shoes in the existing Complex by M/s Mochiko Shoes Pvt Ltd. (Unit-2) at Khasra N,INFRA-1,10 Aug 2019,10/08/2019,,,30/09/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/113830/2019&type=EC&ID=59274
91,SIA/UK/MIN/54500/2018,TOTIGAD SOAP-STONE DEPOSIT MINE,Non-Coal Mining,20 Nov 2020,08/07/2020,20/11/2020,20/11/2020,21/11/2020,,,26/11/2020,23/12/2020,01/01/1900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/54500/2018&type=EC&ID=115874
92,SIA/UK/MIN/218060/2021,"Proposed Project for Sand, Bajri and  Boulders ""Minor Minerals"" mining at Khasra No. 001, lease area - 0.24 Ha, Village - Bagi, Tehsil - Lansdowne District - Pauri Garhwal, Uttarakhand of Shri Ganesh Singh Rawat",Non-Coal Mining,04 Jul 2021,04/07/2021,,,05/07/2021,,,05/07/2021,21/07/2021,12/08/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/218060/2021&type=EC&ID=188936
93,SIA/UK/MIN/211674/2021,"is  “Minor Mineral (sand Bajri Boulder)” at Khsra no 231/5, 231/4/2, 229/3/1, 230/3, 231/3/1 Village -SemalChaur,Teh-Kaladhungi&Dist-Nainital (U.K).",Non-Coal Mining,08 May 2021,08/05/2021,,,21/05/2021,,,26/05/2021,15/06/2021,01/01/1900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/211674/2021&type=EC&ID=185648
94,SIA/UK/MIN/134685/2020,"Proposed Extraction / Collection of Minor Minerals i.e. Sand/Bajri/ Boulder from mine lease area from Mandakini River at Village Amotha, Tehsil & District Rudraprayag, Uttarakhand.",Non-Coal Mining,07 Jan 2020,07/01/2020,,,13/01/2020,,,15/02/2020,11/03/2020,08/05/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/134685/2020&type=EC&ID=84155
95,SIA/UK/MIN/53360/2018,Jai Ambika Mines,Non-Coal Mining,29 May 2020,29/05/2020,,,03/06/2020,,,03/06/2020,26/10/2020,07/01/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/53360/2018&type=EC&ID=106103
96,SIA/UK/MIN/61400/2018,"Mining of Proposed Soapstone Mine from Lease Area (4.195 Ha.) at Village-Dayali Kuroli, Tehsil- Dugnakuri, District- Bageshwar, Uttarakhand",Non-Coal Mining,02 Mar 2021,02/03/2021,,,14/03/2021,,,14/03/2021,05/04/2021,01/01/1900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/61400/2018&type=EC&ID=168055
97,SIA/UK/IND2/59204/2009,"Environmental Clearance for proposed expansion of Acrylic Polymers Emulsion, Polymers of Vinyl Acetate, Vinyl Copolymers, Constructions Chemical & addition of solvent based adhesive by M/s Jesons Industries Ltd. (Unit V) at Plot No. 29 A & B, KIE Industrial Estate, Mundiyaki, Tehsil Roorkee, District Haridwar, Uttarakhand",Industrial Projects - 2,18 Dec 2020,18/12/2020,,,18/01/2021,,,25/01/2021,20/02/2021,19/03/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND2/59204/2009&type=EC&ID=148109
98,SIA/UK/MIN/231714/2021,Fish Pond RBM Construction Project,Non-Coal Mining,28 Sep 2021,28/09/2021,,,02/11/2021,,,03/11/2021,10/11/2021,13/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/231714/2021&type=EC&ID=191672
99,SIA/UK/MIS/236383/2021,"Environmental Clearance for the Proposed expansion of Group Housing Project by M/s Bridge View Estate located at New Khasra No. 124 (Old Khasra No. 231, 232, 233, 234 & 114Kha), Muza Kandoli, Pargana Parwa Doon, Dehradun, Uttarakhand",INFRA-2,30 Oct 2021,30/10/2021,,,01/11/2021,,,03/11/2021,10/11/2021,13/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/236383/2021&type=EC&ID=192731
100,SIA/UK/MIN/55255/2019,Jai Badri Kedar Soapstone Mining,Non-Coal Mining,25 Aug 2020,01/08/2020,14/08/2020,25/08/2020,28/09/2020,,,02/10/2020,23/12/2020,19/01/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/55255/2019&type=EC&ID=121689
101,SIA/UK/MIS/288132/2022,Proposed Construction of Hotel “Hotel Holy Vivasa”(M/s Shivalik Tower),INFRA-2,10 Aug 2022,10/08/2022,,,06/06/2023,,,06/06/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/288132/2022&type=EC&ID=210043
102,SIA/UK/IND3/83123/2022,UNI MEDICO LABS,Industrial Projects - 3,22 Sep 2022,,,,06/06/2023,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND3/83123/2022&type=EC&ID=211260
103,SIA/UK/MIN/50443/2016,"Environmental Clearance for the Proposed Digging / Excavation of Minor Minerals i.e. “Brick Earth” for Brick manufacturing from lease area of Village Pipaliya (1.405 Hectare) by M/s Shaan Brick Field, Village – Pipliya No.1, Mahtosh mor, Tehsil – Gad",Non-Coal Mining,24 Feb 2016,24/02/2016,,,05/01/2019,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/50443/2016&type=EC&ID=14289
104,SIA/UK/MIN/91638/2019,Soapstone mining from Uneven Agricultural land at Village Rai Garhsyari Tehsil Didihat District Pithoragarh Uttarakhand,Non-Coal Mining,16 Jan 2019,16/01/2019,,,01/03/2019,22/05/2019,07/10/2019,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/91638/2019&type=EC&ID=51790
105,SIA/UK/MIN/414590/2023,Joshigaon (Golchaura) Soapstone Mining Project,Non-Coal Mining,14 Jan 2023,14/01/2023,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/414590/2023&type=EC&ID=215325
106,SIA/UK/INFRA2/427635/2023,"Environmental Clearance for Proposed Enhancement in Production Capacity for Manufacture of Shoe Soles, Footwear & Parts therof in the existing Complex ",INFRA-2,30 Apr 2023,30/04/2023,,,01/05/2023,,,01/05/2023,,03/06/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/INFRA2/427635/2023&type=EC&ID=219187
107,SIA/UK/MIN/236700/2021,Kanari RBM Mining Project,Non-Coal Mining,31 Oct 2021,31/10/2021,,,01/11/2021,,,03/11/2021,10/11/2021,12/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/236700/2021&type=EC&ID=192817
108,SIA/UK/IND2/50020/2018,"Proposed Establishment of new Distillery (Grain Based) - 40 KLD (ENA Ethanol) along with Co generation power - 3.0 MW at village - Ahmadpur Grant, Block - Bahadarabad, Tehsil & Distt - Haridwar( UK)",Industrial Projects - 2,22 Jan 2020,22/01/2020,,,17/02/2020,,,17/02/2020,11/03/2020,09/11/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND2/50020/2018&type=EC&ID=86019
109,SIA/UK/MIN/137267/2020,Dinesh Negi,Non-Coal Mining,17 Jan 2020,17/01/2020,,,10/02/2020,,,15/02/2020,11/03/2020,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/137267/2020&type=EC&ID=85790
