,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
650,SIA/OR/MIN/284181/2022,Dudhkundi Sand Bed over an area of 7.15 Acre or 2.893 Hectares in village Dudhkundi under Jhumpura Tahasil of Keonjhar District of Odisha of Sri Pramod Kumar Munda,Non-Coal Mining,19 Jul 2022,19/07/2022,,,19/07/2022,,,22/07/2022,,22/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/284181/2022&type=EC&ID=209045
651,SIA/OR/MIN/262806/2022,"Balenga Sand Bed over an area of 12.00 Acers or 4.856 Hectares having Khata No. 391, Plot No. 1096 & 272 in the village Balenga, Tahasil Kodinga in District Nabarangpur, State Odisha.",Non-Coal Mining,18 Aug 2022,21/03/2022,20/06/2022,18/08/2022,22/08/2022,,,06/09/2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/262806/2022&type=EC&ID=200771
652,SIA/OR/IND/238038/2021,"“Expansion of existing stand-alone cement grinding unit capacity from 0.90 MTPA to 1.80 MTPA (Line-II) by installation of an additional Cement mill of capacity 165 TPH by M/s The Ramco Cements Limited (TRCL) located at/PO: Haridaspur, PS/Tehsil:  Dha",Industrial Projects - 1,12 Nov 2021,12/11/2021,,,14/11/2021,,,26/11/2021,22/03/2022,26/05/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND/238038/2021&type=EC&ID=193150
653,SIA/OR/MIN/69448/2020,"Environmental Clearance for Bhagabnpur Decorative Stone Deposit of Sri Sobhan Kumar Mahapatra, located at Village-Bhagabanpur, Tahasil-Kukudakhandi, Dist- Ganjam, Odisha, spread over an area of 17.547 Ha. for production of Decorative Stone @ 6,000 cum / annum.",Non-Coal Mining,29 Nov 2021,29/11/2021,,,06/12/2021,,,14/12/2021,03/03/2022,07/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/69448/2020&type=EC&ID=193804
654,SIA/OR/MIN/241471/2021,Bhandarimal Stone Quarry,Non-Coal Mining,12 Dec 2021,30/11/2021,08/12/2021,12/12/2021,25/03/2022,,,11/04/2022,,07/06/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/241471/2021&type=EC&ID=193990
655,SIA/OR/MIN/241457/2021,NAHADA ROAD METAL QUARRY- III,Non-Coal Mining,08 Aug 2022,29/11/2021,04/08/2022,08/08/2022,23/08/2022,,,17/10/2022,,27/12/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/241457/2021&type=EC&ID=193986
656,SIA/OR/MIN/226455/2021,"JANKIA LATERITE STONE QUARRY OVER AN AREA OF 4.00 ACRES OR 1.62 HECTARES IN VILLAGE JANKIA UNDER RANPUR TAHASIL IN FAVOUR OF TAHASILDAR,RANPUR",Non-Coal Mining,02 Sep 2021,28/08/2021,01/11/2021,02/09/2021,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/226455/2021&type=EC&ID=190514
657,SIA/OR/MIN/245534/2021,"Proposal for Fresh EC for Kalikaprasad Sand Quarry over an area of 12.35 Acres or 4.990 Hectares in village Kalikaprasad under Damapada Tahasil, District-Cuttack, Odisha",Non-Coal Mining,22 Jun 2022,17/12/2021,16/03/2022,22/06/2022,04/07/2022,,,22/07/2022,,17/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/245534/2021&type=EC&ID=195092
658,SIA/OR/MIN/42962/2016,RAIPAL & JAMBUA SAND QUARRY,Non-Coal Mining,02 Feb 2016,02/02/2016,,,03/02/2016,,,,,25/06/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/42962/2016&type=EC&ID=11664
659,SIA/OR/MIN/451950/2023,"Karanda Black Stone Quarry No-10 Over an area of 1.60 Acre or 0.647 hain Village Karanda under Hindo Tahasil, Dhenkanal, Odisha",Non-Coal Mining,10 Nov 2023,10/11/2023,,,13/11/2023,,,28/12/2023,,03/02/2024,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/451950/2023&type=EC&ID=228002
660,SIA/OR/MIN/35620/2015,SUKHUAPATA STONE QUARRY NO. 02,Non-Coal Mining,23 Dec 2015,23/12/2015,,,08/01/2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/35620/2015&type=EC&ID=4795
661,SIA/OR/MIN/406035/2022,"Birupa River Sand Quarry, Bhairpur over an area of 5.058 ha is located in mouza - Bhairpur, Tahasil – Salipur, in district Cuttack , Odisha of M/s Sahu Metaliks Pvt. Ltd,",Non-Coal Mining,10 Nov 2022,10/11/2022,18/11/2022,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/406035/2022&type=EC&ID=212478
