,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
2551,SIA/UP/MIS/109008/2019,Group Housing Project “IVY County”,INFRA-2,25 Jun 2019,25/06/2019,,,05/07/2019,,,17/07/2019,03/09/2019,22/10/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/109008/2019&type=EC&ID=56916
2552,SIA/UP/MIN/189715/2020,Building Stone Boulder-Khanda / Gitti-Ballast Mining Project,Non-Coal Mining,31 Dec 2020,24/12/2020,28/12/2020,31/12/2020,05/01/2021,,,08/01/2021,14/09/2021,30/10/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/189715/2020&type=EC&ID=152393
2553,SIA/UP/MIN/209684/2021,RBM (Mixed Form) Mining Project,Non-Coal Mining,02 Jun 2021,27/04/2021,20/05/2021,02/06/2021,07/06/2021,,,15/06/2021,03/09/2021,09/10/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/209684/2021&type=EC&ID=181231
2554,SIA/UP/MIN/132883/2019,"Tugana (Gata No. 156, 158, 165, 481MI, 652MI & 19) soil brick mining project.",Non-Coal Mining,21 Dec 2019,21/12/2019,07/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/132883/2019&type=EC&ID=83727
2555,SIA/UP/MIN/133077/2019,Brick Earth Mine Village Sikanderpur Tehsil-Kol District- Aligarh developed by Shree Shyam Ent udyog,Non-Coal Mining,23 Dec 2019,23/12/2019,06/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/133077/2019&type=EC&ID=83758
2556,SIA/UP/MIN/133180/2019,Sarosi (Gata No. 206) soil mining project.,Non-Coal Mining,23 Dec 2019,23/12/2019,,,07/01/2020,,,20/01/2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/133180/2019&type=EC&ID=83778
2557,SIA/UP/MIN/29162/2018,"Sand/Morrum mining project from Betwa River for M/s Kuber Kamna Marbles Pvt. Ltd. located at Khand No. 8/4, Village - Naithi, Tehsil - Hamirpur, District - Hamirpur, Uttar Pradesh.",Non-Coal Mining,01 Jul 2020,01/07/2020,,,07/07/2020,,,07/07/2020,10/08/2020,03/09/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/29162/2018&type=EC&ID=115547
2558,SIA/UP/IND2/207146/2021,"Proposed Manufacturing of Bulk Drugs, Intermediates and Organic Chemicals at Khasra No. 625&645, Bahadurpur Road,  Achhronda, Partapur, Meerut, UP",Industrial Projects - 2,30 Mar 2021,30/03/2021,,,01/04/2021,,,07/04/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/IND2/207146/2021&type=EC&ID=175675
2559,SIA/UP/MIS/251286/2022,Group Housing Project,INFRA-2,12 Jan 2022,12/01/2022,,,20/01/2022,,,25/01/2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/251286/2022&type=EC&ID=197800
2560,SIA/UP/MIN/252450/2022,Ramraj Soil Mining Project,Non-Coal Mining,20 Jan 2022,,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/252450/2022&type=EC&ID=198107
2561,SIA/UP/MIN/41753/2019,"Brick Earth Mining Project located at Khasra No. 292/2, 274, 268, 303, 13, Village- Rasyakhanpur, Tehsil- Bisalpur, District- Pilibhit, U.P",Non-Coal Mining,26 Aug 2019,26/08/2019,12/09/2019,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/41753/2019&type=EC&ID=62832
