,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
52,SIA/BR/MIN/132103/2019,"Brick Earth Mining Project at Village- Daulatpur, P.O- Daulatpur, P.S- Khodabandpur, District- Begusarai (Bihar)",Non-Coal Mining,28 Jan 2020,18/12/2019,31/01/2020,28/01/2020,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/132103/2019&type=EC&ID=81537
53,SIA/BR/MIN/132132/2019,"Proposed Brick Earth Mining Project of Area 1.06 Hectare Or 2.62 Acre M/s. W.S.S Bricks at Mauza- Murila, P.S + Block- Ramnagar, District- West Champaran, State- Bihar",Non-Coal Mining,18 Dec 2019,18/12/2019,27/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/132132/2019&type=EC&ID=82550
54,SIA/BR/MIN/132309/2019,"Brick Earth Mining Project of Area 4.50 Acres or 1.82 Hectare M/S OM Traders & Int Udyog at Mauza- Garurha, P.O- Narkatiyaganj, P.S – Shikarpur, Block- Narkatiyaganj, District- West Champaran, State -",Non-Coal Mining,19 Dec 2019,19/12/2019,27/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/132309/2019&type=EC&ID=82587
55,SIA/BR/MIN/134858/2020,SUGAULI AND CHAND PARSA BALU GHAT,Non-Coal Mining,03 Jan 2020,03/01/2020,07/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/134858/2020&type=EC&ID=84203
56,SIA/BR/MIN/132707/2019,"Kapa Kala M/S SHYAM BRICKS MANUFACTURING CO. Earth Mining Project , Mauza - Kapa Kala Thana No -151 Khata No.- 44, 52, 557, 564 & 571, Plot No.- 1217, 1218, 1222, 1302, 1306, 1310 & 1313,Area-1.15Ha o",Non-Coal Mining,21 Dec 2019,21/12/2019,25/01/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/132707/2019&type=EC&ID=83691
57,SIA/BR/IND/73390/2021,M/s Tejas Iron & Steel Pvt. Ltd.,Industrial Projects - 1,12 Mar 2022,12/03/2022,,,17/03/2022,,,21/03/2022,25/04/2022,13/05/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/IND/73390/2021&type=EC&ID=200263
58,SIA/BR/MIN/33647/2019,Sangrampur Sand Ghat on Belharni River,Non-Coal Mining,25 Mar 2019,25/03/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/33647/2019&type=EC&ID=54253
59,SIA/BR/MIN/33988/2019,Proposed Sand Mining Project of area 3.0 ha at Rahicha Kabirpur  Ghat on Sakari River of District- Sheikhpura of State-Bihar.,Non-Coal Mining,30 Mar 2019,30/03/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/33988/2019&type=EC&ID=54436
60,SIA/BR/MIS/251819/2022,Proposed Commercial cum Residential Building “Umeed Nagar Township” by Umeed Builder & Constructor Pvt. Ltd.,INFRA-2,17 Jan 2022,17/01/2022,,,19/01/2022,,,19/01/2022,25/04/2022,13/05/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/251819/2022&type=EC&ID=197941
61,SIA/BR/MIN/30933/2019,"Nagardar Sand ghat Mining Project of area 23.50 of District Lakhisarai , Bihar On Kiul River",Non-Coal Mining,29 Oct 2019,29/10/2019,24/10/2019,29/10/2019,11/11/2019,,,13/11/2019,10/12/2019,27/04/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/30933/2019&type=EC&ID=63222
