,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
6841,SIA/MH/NCP/47937/2016,Swapnalok,INFRA-1,04-Feb-16,04-02-2016,,,17-02-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/NCP/47937/2016&type=EC&ID=11781
6842,SIA/MH/NCP/18642/2016,SIA/MH/NCP/16956/2016,INFRA-1,24-Feb-17,24-02-2017,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/NCP/18642/2016&type=EC&ID=34310
6843,SIA/MH/NCP/62925/2017,The Leaf,INFRA-1,03-Mar-17,03-03-2017,,,15-03-2017,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/NCP/62925/2017&type=EC&ID=34402
6844,SIA/MH/MIS/249135/2021,"Slum Rehabilitation Scheme at plot bearing S. No. 506 Gandhinagar, Pokhran Road No.2, Village Panchpakhadi, Thane (w), Maharashtra",INFRA-2,31-Dec-21,31-12-2021,,,04-01-2022,,,01-02-2022,,13-09-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/249135/2021&type=EC&ID=196196
6845,SIA/MH/MIS/246874/2021,Sukhwani Skylines,INFRA-2,23-Dec-21,23-12-2021,,,30-12-2021,,,11-02-2022,16-03-2022,12-05-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/246874/2021&type=EC&ID=195492
6846,SIA/MH/MIS/246173/2021,"Expansion in Prior Environmental Clearance for Proposed Residential & Commercial Development Project “ Ashanand Residency”, at S. No. 276/1A, Rajgurunagar, Pune by M/s Ashanand Realtors",INFRA-2,20-Dec-21,20-12-2021,,,30-12-2021,,,11-02-2022,16-03-2022,13-05-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/246173/2021&type=EC&ID=195285
6847,SIA/MH/IND2/206216/2021,Proposed expansion of API & intermediate Manufacturing Unit by  Lavender Laboratories Pvt. Ltd.,Industrial Projects - 2,26-Mar-21,26-03-2021,,,29-03-2021,,,07-08-2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/IND2/206216/2021&type=EC&ID=175358
6848,SIA/MH/MIS/214675/2021,"""Archana Paradise Phase 02 at Mohamadwadi Sr.no 39/08, Pune  by Kanifnath Reality""",INFRA-2,14-Jun-21,14-06-2021,,,16-06-2021,,,05-10-2021,07-03-2022,06-05-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/214675/2021&type=EC&ID=188254
6849,SIA/MH/MIN/30530/2015,"Chinchner Vandan-1 Tahsil- Satara gut no.1581 to 1586, 1613, 1614",Non-Coal Mining,01-Sep-15,01-09-2015,,,16-09-2015,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/30530/2015&type=EC&ID=657
6850,SIA/MH/MIN/31929/2015,Picharde Sand Ghat Auction,Non-Coal Mining,17-Oct-15,17-10-2015,,,31-10-2015,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/31929/2015&type=EC&ID=1593
6851,SIA/MH/MIS/33480/2015,Mumbai Trans Harbour Sea Link,INFRA-2,30-Nov-15,30-11-2015,,,06-01-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/33480/2015&type=EC&ID=2898
6852,SIA/MH/MIN/179531/2020,"Bhuvan Shirpur sand spot over an extent of 1.75 ha. at Purna River Bed Gut. No. Bhuvan 01, Shirpur 390,374,373,370,369 Bhuvan-Shirpur Village, Mantha Taluk, Jalna district, Maharashtra.",Non-Coal Mining,11-Nov-20,11-11-2020,,,23-11-2020,,,16-12-2020,20-12-2020,06-01-2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/179531/2020&type=EC&ID=137997
6853,SIA/MH/MIS/241671/2021,Serio,INFRA-2,03-Dec-21,03-12-2021,,,06-12-2021,,,11-02-2022,,30-09-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/241671/2021&type=EC&ID=194048
6854,SIA/MH/NCP/31529/2015,Residential & Commercial,INFRA-1,06-Oct-15,06-10-2015,,,31-10-2015,,,06-11-2015,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/NCP/31529/2015&type=EC&ID=1297
6855,SIA/MH/MIS/232317/2021,"Proposed Commercial and Residential Studio Apartment Building at S.no. 16, hissa no. A to TH/2(A+B+C+KH+G+GH+CH+CHH+J+Z+D+T+ TH/2) at Baner, Pune by M/s New Unicorn Infraventures LLP.",INFRA-2,01-Oct-21,01-10-2021,,,07-10-2021,,,06-01-2022,25-01-2022,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/232317/2021&type=EC&ID=191833
6856,SIA/MH/MIS/232421/2021,"Proposed Residential Cum Commercial Project ""The Cennet"" by M/s. Shanti Ratna Group",INFRA-2,13-Oct-21,13-10-2021,,,18-10-2021,,,31-01-2022,,30-05-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/232421/2021&type=EC&ID=191865
